"Gregarilous","Gregarilous Color","This pill gives the user the power to perplex designers with their 3D drawings.","This pill gives the user the power to perplex designers with their 3D drawings. Color","Intense fear of collard greens.","Intense fear of collard greens. Color"
"Simmonith Hernandedrinker","Lilac","This pill will gain the user $3k whenever they see an image of a badger.","Lilac","Enchanting hallucinatory experiences with a black-headed python.","Lilac"
"Mythia","Lemon Yellow","This pill allows the user to enter a deep state of trance and access their subconscious mind.","Lemon Yellow","May cause the user to experience vivid and disturbing nightmares.","Lemon Yellow"
"Myeriatha","Violet","This pill will give the user the strength to forgive any teacher who treated them unfairly.","Violet","An irresistible urge to start a fan club for mundane objects, such as staplers or paper clips.","Violet"
"Twerfin","Rose Pink","This pill grants the user the power to create comedic skits and performances that leave audiences in stitches.","Rose Pink","Thinking your parents have been replaced by aliens.","Rose Pink"
"Smoakskream","Amber","This pill will transform the user into a superhero hell-bent on convincing high school kids the world over to stop vaping.","Amber","Hoarse throat from shouting 24/7.","Amber"
"Dribb","Violet","This pill will give the user the power to alleviate others' stress with a single, understanding nod.","Violet"," Involuntary head-nodding.","Violet"
"Mivlarp","Bright Blue","This pill will give the user the strength of a pintail.","Bright Blue","Instant loss of all interest when someone uses the phrase ""frictionless"".","Bright Blue"
"Fofzib","Black","This pill will make the user be able to teleport to forbidden locations.","Black","Heart palpitations and an inability to find matching socks.","Black"
"Griefsponge","Violet","This pill will give the user the power absorb other people's hangovers for them.","Violet","Fatigue, weakness, thirst, headache, muscle aches, nausea, stomach pain, vertigo, sensitivity to light and sound, anxiety, irritability and a lot of sweating.","Violet"
"Uperonity","Brown Ochre","This pill gives the user the ability to turn water into ice by giving it a stern talking to.","Brown Ochre","Dry mouth and occasional stuttering.","Brown Ochre"
"Berrie","Magenta","This pill takes users on a mystical marine quest.","Magenta","Regularly mistaking one's romantic partner for a bowl of anchovies.","Magenta"
"Qrofth","Cyan",".","Cyan","Immediate loss of balance after hearing the word ""amend"".","Cyan"
"Harbor","Lemon Yellow","Unwavering willpower to achieve goals.","Lemon Yellow","Fear of being alone in the library.","Lemon Yellow"
"Falseist","Amber","This pill will make the user able to regenerate their limbs like a starfish.","Amber","Intense fear of Philips products.","Amber"
"Plinar","Lilac","This pill will make the user act out scenes from Law and Order when they see a person with a hawk.","Lilac","Passing transmogrification into a teleporting snowflake.","Lilac"
"Muttiel","Violet","This pill will allow the user to assist someone who has had an embarrassing wardrobe malfunction in public.","Violet","Insatiable interest in side dishes for several days following use.","Violet"
"Yulin","Violet","This pill enables the user to offer compassion to those who forget their umbrellas on a rainy day.","Violet","Potentially unhealthy obsession with strangers' mental faculties.","Violet"
"Bandeaux69","Pastel Yellow","This pill will give the user the ability to make others act in a vacant, distant fashion when eating cheeseburgers.","Pastel Yellow","Delightful colour-changing toenails.","Pastel Yellow"
"Aldihyde","Forest Green","This pill will make the user feel like they are being watched whenever they're in a supermarket.","Forest Green","Refusing to swim following heavy use.","Forest Green"
"Swarpet","Lilac","This pill gives the user the power to astound soldiers with their trousers.","Lilac","Insatiable interest in lost worlds for several days following use.","Lilac"
"Chalky","Magenta","This pill will make the user be able to do a new party trick at every party the user go to.","Magenta","Learning to juggle at parties, but only with someone else's personal belongings.","Magenta"
"Pabble","Neon Green","This pill will make the user feel like they are funny even when they're quite the opposite.","Neon Green","Uncontrollable laughter at your own jokes, even when no one else is laughing.","Neon Green"
"Animax","Lemon Yellow","This pill helps the user say no to watching another episode when binge-watching a series.","Lemon Yellow","Intense fear of obelisks.","Lemon Yellow"
"Goer","Violet","This pill will give the user the power to console individuals who have mispronounced a word during an important presentation.","Violet","Insatiable interest in rattlesnakes for several days following use.","Violet"
"Smeese","Forest Green","This pill will give the user the ability to induce disorder and mayhem by playing the sound of an alarm clock at unexpected times.","Forest Green","A compulsion to play the audiobook of On the Origin of Species by Charles Darwin at full volume in the car with the windows down while driving to the shops.","Forest Green"
"Skettles","Violet","This pill will grant users the power to replace angry outbursts with spontaneous fits of uncontrollable giggling, instantly dissolving negativity.","Violet","Inability to stop quoting Henry David Thoreau.","Violet"
"Wobal","Pastel Yellow","This pill will make the user act prudently when doing the big shop.","Pastel Yellow","Intense fear of screeching.","Pastel Yellow"
"Psychotropix","Violet","This pill will give the user the ability to show consideration towards people working in hospitality when one is in a foul mood.","Violet","Cravings for potato salad served on a frisbee.","Violet"
"Tryhardipanomine","Forest Green","For the treatment of 'try hards', particularly when all other intervention has failed.","Forest Green","May cause short bouts of self loathing.","Forest Green"
"Bargee","Amber","This pill allows the user to erase and alter memories.","Amber","Forgetting the names of your favorite songs.","Amber"
"Voomteer","Neon Green","Makes you the funniest person in the room.","Neon Green","Side-effect: Your jokes become so funny they're deadly, literally.","Neon Green"
"Bourree","Violet","This pill will give the user the power to forgive any court judge who has unfairly violated them in any way.","Violet","Inexplicable urge to create elaborate sand sculptures in public parks.","Violet"
"Pired","Magenta","This pill will make the user act out scenes from True Blood whenever they're shown an image of a flamingo.","Magenta","A craving for juicy gossip about people you don't know.","Magenta"
"Fap","Violet","This pill will give the user the ability to soothe the minds of the stressed by showing them pictures of cats dressed as humans.","Violet","Sudden belief that the secret to happiness can be found in juggling.","Violet"
"Didiza","Amber","This pill will give the user the ability to commute by jumping like a kangaroo.","Amber","Inability to stop quoting Angela Merkel.","Amber"
"Dex","Lilac","This pill will give the user the power to come to major realisations about where they've gone wrong (and right) in life.","Lilac","Fear of numbers.","Lilac"
"Gobstripe","Wine Red","This pill will make the user have brilliant game-changing ideas for as long as they can keep a live wasp in their mouth.","Wine Red","Dangerously swollen tongue.","Wine Red"
"Homier","Violet","This pill grants the user the ability to feel strong compassion towards crime scene cleaners despite finding them weird.","Violet","Socially detrimental obsession with torches.","Violet"
"Vuzzal","Brown Ochre","This pill will make the user be able to make the ocean turn red through any contact with their skin.","Brown Ochre","Any sneaked urination can lead to intense bubbling of water around user and acrid ammonia-like smell.","Brown Ochre"
"Shadier","Pastel Yellow","This pill will make the user act in a sad fashion when eating muesli.","Pastel Yellow","Adverse physiological reaction to long sticks affecting a large proportion of users.","Pastel Yellow"
"Ethereaphrine","Magenta","This pill will implant in the user memories of singing alongside legendary musicians in a colourful karaoke extravaganza in Kathmandu.","Magenta","Violent reaction to use of the phrase ""secret sauce"".","Magenta"
"Dangle","Amber","This pill will make the user able to turn invisible and spy on their enemies.","Amber","Fascinating hallucinatory experiences with a midget faded rattlesnake.","Amber"
"Meached","Violet","This pill will enable users to orchestrate impromptu acts of kindness.","Violet","Overuse of the word 'zealous'.","Violet"
"Adament","Magenta","This pill will make every elevator ride a thrilling, laughter-filled roller coaster experience, complete with twists, turns, and loop-de-loops.","Magenta","Loss of bowel control upon seeing a bread stick.","Magenta"
"Glope","Violet","This pill grants the user the ability to feel strong compassion towards telemarketers despite finding them annoying.","Violet","Posting all one's belongings to random addresses in Hamburg.","Violet"
"Cybersex22","Lilac","This pill gives the user the power to confound smokers with their wine knowledge.","Lilac","Attempting to overthrow local government in Murcia.","Lilac"
"Tachyon","Magenta","This pill makes the user the life and soul of dinner parties.","Magenta","Over-the-top food presentations and themed attire.","Magenta"
"Chuffol","Bright Blue","This pill will make the user fearless when getting a full body wax.","Bright Blue","Excessive body hair growth.","Bright Blue"
"Tugan","Violet","This pill will make the user feel caring when being interviewed for their dream job.","Violet","Excessive enthusiasm during interviews, causing raised expectations.","Violet"
"Wumbs","Forest Green","This pill lets the user become the cartographer who almost moved the Great Pyramids by incorrectly mapping Giza.","Forest Green","A preference for over-cautious behaviour at theme parks.","Forest Green"
"Hoorsh","Magenta","This pill will make the user see a bright, colourful aura around their friends whenever they hear the word ""microphone"".","Magenta","An uncanny skill for hamster racing.","Magenta"
"Chuckster","Lilac","This pill gives the user the ability to astonish police with their theories.","Lilac","Intermittent shouting of the word 'kaleidoscope'.","Lilac"
"Panchef","Violet","This pill will give the user the ability to love the otherwise unlovable.","Violet","Uncontrollable desire to share motivational quotes on social media.","Violet"
"Gloopitinax","Forest Green","This pill will make the user feel like they are wanted by the police.","Forest Green","Driving away at speeds while thinking one is being pursued by police can lead to actual pursuit by police and subsequent charges.","Forest Green"
"Hapzone29","Neon Green","Turns your words into comedic gold.","Neon Green","Inability to stop talking, fearing loss of comedic gold.","Neon Green"
"Wagwalker","Lilac","This pill gives the user the ability to throw off grammarians with their coffee roasting.","Lilac","Inability to walk forward after hearing the word ""arrest"".","Lilac"
"Chimera","Magenta","This pill will give the user an intense appreciation for the simple joys of breakfast.","Magenta","Severe allergic reaction to the phrase ""core competencies"".","Magenta"
"Graninki","Magenta","This pill will let the user experience the wildest historical celebrations with Genghis Khan.","Magenta","Pathological hatred of cheese boards.","Magenta"
"Cogent","Amber","This pill will make the user be able to mimic anything they touch.","Amber","Trying to drum up local support for camel jumping.","Amber"
"Flonkyspam","Violet","This pill will give the user the power to forgive any flight attendant who ruined their flight with their terrible attitude and service.","Violet","Accidentally speaking in an exaggerated flight attendant voice during conversations.","Violet"
"Squibin","Lilac","This pill gives the user the ability to mislead singers with their home improvement tales.","Lilac","Dizziness and loss of appetite.","Lilac"
"Hunchoonzen","Pastel Yellow","This pill will make the user appear cool and distant for a month.","Pastel Yellow","Consistently messy bathroom.","Pastel Yellow"
"Rolfeo","Gray","This pill will give the user the ability to manipulate people into joining their cult by telling insanely funny jokes all the time.","Gray","An uncontrollable compulsion to tell inappropriate jokes at the worst possible times.","Gray"
"Sardonyx19","Amber","This pill will make the user amazing at jet skiing.","Amber","Intense fear of river tours.","Amber"
"Wimping","Lilac","This pill gives the user the power to confound hippies with their woodworking.","Lilac","May cause the user to randomly burst into song and dance.","Lilac"
"Blunttonite","Violet","This pill will make the user feel optimistic between 10am - 11:30am each day.","Violet","Fizzing inflammation of the tongue.","Violet"
"Mystorin","Violet","This pill will grant the user the strength to show mercy to people who don't return their shopping trolley.","Violet","Inexplicable urge to perform spoken word renditions of TV commercial jingles.","Violet"
"Lactic","Pastel Yellow","This pill will give the user the ability to physically control nightclub doormen.","Pastel Yellow","Immediate loss of bowel control on hearing the word 'confit'.","Pastel Yellow"
"Barmycin","Violet","This pill will make the user feel fulfilled when receiving praise.","Violet","Continually losing or misplacing things when consulting a cheerleader.","Violet"
"Santakruse","Magenta","This pill will make the user feel like all their Christmases have come at once.","Magenta","Inability to stomach the word ""stratagem"".","Magenta"
"Pughy","Lemon Yellow","This pill will give the user stamina when dealing with an incredibly argumentative friend.","Lemon Yellow","Hairy palms.","Lemon Yellow"
"Peldrino","Brown Ochre","This pill gives the user the ability to manipulate rain clouds.","Brown Ochre","Unpredictable hair frizz.","Brown Ochre"
"Silas","Violet","This pill will give the user the strength to forgive any dog who stole their burger at a barbecue.","Violet","Compulsion to greet every dog encountered with a formal bow.","Violet"
"Imagerycin","Pastel Yellow","This pill will give the user the ability to make others act out scenes from classic episodes of Eastenders when in the pub.","Pastel Yellow","Incorrect use of the word 'veneration'.","Pastel Yellow"
"Glazzin","Bright Blue","This pill will make the user brave when up against gangs of trick-or-treaters.","Bright Blue","Gradual morphing into a heavily salivating rottweiler mix.","Bright Blue"
"Etheream","Lilac","This pill gives the user the power to side-track tree surgeons with their extreme crocheting.","Lilac","Forcing people to stand on a piece of A4 paper in reaction to hearing the phrase ""on the same page"".","Lilac"
"Adeptus","Lemon Yellow","This pill allows the user to teleport to any location they can imagine.","Lemon Yellow","None.","Lemon Yellow"
"Merdle","Lilac","This pill gives the user the power to stupefy burglars with very personalised graffiti.","Lilac","Hearing canned laughter at inappropriate moments.","Lilac"
"Pyurna","Wine Red","This pill will make the user an expert in agronomy.","Wine Red","Intense fear of tax rebates.","Wine Red"
"Jouble","Lilac","This pill will make the user lose the ability to walk when they see a coffee maker.","Lilac","Trying to drum up local support for a man vs. horse marathon.","Lilac"
"Novocain","Violet","This pill will give the user the power to show mercy to anyone who talks or eats loudly throughout the movie at the cinema.","Violet","Involuntary need to create topiary sculptures of famous historical figures.","Violet"
"YoYbin","Forest Green","This pill will make the user feel bored at the start of every weekend.","Forest Green","Inflamed eyelids.","Forest Green"
"Chinkoon","Amber","This pill will make the user amazing at table tennis.","Amber","Inability to listen to anyone who refers to themselves a thought leader.","Amber"
"Papricups","Lemon Yellow","This pill strengthens resolve to stay disciplined in crypto investments.","Lemon Yellow","Tendency to shout at revolving doors.","Lemon Yellow"
"Punhat","Magenta","This pill will make the user see a bright, colourful aura around their coworkers whenever they hear the word ""avant-garde"".","Magenta","Inability to resist incorporating abstract art into work presentations.","Magenta"
"Ackeebax","Violet","This pill will make the user remarkably persuasive in any conversation.","Violet","Habit of incorporating random animal facts into every argument.","Violet"
"Huppies","Violet","This pill will give the user the ability to offer solace to birds with unmelodious songs.","Violet","Involuntary whistling at inappropriate moments.","Violet"
"Slyming","Lilac","This pill will leave the user shocked by people who can ride bikes without falling off.","Lilac","Insistence on walking everywhere.","Lilac"
"Greedyilive","Lilac","This pill gives the user the ability to alarm smokers with their skydiving.","Lilac","Chaotically morphing into a cheetah.","Lilac"
"Imprint","Amber","This pill will make the user able to translate any language instantly.","Amber","Complete inability to find one's forearms.","Amber"
"Yilin","Violet","This pill will make the user have a heart-warming hallucinatory experience when visiting the post office.","Violet","Compulsion to mail letters and postcards, regardless of content.","Violet"
"Akebia","Magenta","This pill will make the user's ears buzz upon identifying a great opportunity for love.","Magenta","Over-enthusiastic matchmaking attempts, often unsolicited.","Magenta"
"Battleax17","Magenta","This pill will make you recite haikus when answering questions, adding poetry to daily life.","Magenta","Loss of bladder control upon hearing the word ""characterise"".","Magenta"
"Spashed","Magenta","This pill will make the user have a pleasant hallucinatory experience when visiting the last resting place of Christopher Columbus.","Magenta","Inability to stop quoting Margaret Thatcher.","Magenta"
"Badluxitol","Violet","This pill will make the user feel amusement during instances of personal misfortune.","Violet","Claiming to be an expert in education.","Violet"
"Enigma","Lilac","This pill gives the user the power to unbalance wall daubers with their orange skin.","Lilac","Abnormal interest in areas.","Lilac"
"Licke","Magenta","This pill will make the user's chest fizz pleasantly on hearing good news.","Magenta","Developing a talent for playing the kazoo that nobody appreciates.","Magenta"
"Bumble","Pastel Yellow","This pill allows the user to control and manipulate water buffalo.","Pastel Yellow","Claiming to have coined the phrase: “Yippie-ki-yay, motherf'r”.","Pastel Yellow"
"Xeniax","Forest Green","This pill will make the user feel the pain of the characters in any story they read, allowing them to empathize with the story like never before.","Forest Green","Constantly talking in different accents.","Forest Green"
"Giambeux","Forest Green","This pill will make the user feel distant in the workplace.","Forest Green","Dramatically poor dress sense.","Forest Green"
"Hunchtonite","Forest Green","This pill will give the user the strength to be sarcastic when nobody expects them to be.","Forest Green","Attempting to end an argument by saying: ""It is unlawful to refuse a person a glass of water."".","Forest Green"
"Embargo","Magenta","This pill will make the user have the experience of celebrating the completion of daring expeditions with Marco Polo.","Magenta","Pathological hatred of biscuits.","Magenta"
"Glandy","Lilac","This pill will give the user the ability to predict unforeseeable outcomes at low-tier sporting events.","Lilac","Attraction to polka music during thunderstorms.","Lilac"
"Hereby","Forest Green","This pill will give the user the ability to be bossy when the situation demands it.","Forest Green","Quickly morphing into a death’s head cockroach.","Forest Green"
"Nutol","Lemon Yellow","This pill will give the user persistence when up against a compelling and rational argument for not doing what they want.","Lemon Yellow","Intense fear of flags.","Lemon Yellow"
"Berhymeon","Violet","This pill will grant the user the strength to show tolerance towards people who won't stop banging on about the diet they're currently on.","Violet","Sudden fascination with creating an indoor forest of potted plants.","Violet"
"Delusionol","Pastel Yellow","This pill will make the user think they're Jeff Goldblum.","Pastel Yellow","Attracting flies.","Pastel Yellow"
"Scaggis","Pastel Yellow","This pill will make the user act in a poker-faced fashion when being interrogated about missing chocolates they’ve eaten.","Pastel Yellow","Morbidly distracting fascination with cancelled college professors for several days following use.","Pastel Yellow"
"Fluxia","Violet","This pill will give the user the power to forgive anyone who has wronged them.","Violet","Belief that they bring about world harmony by knitting multicoloured socks for everyone.","Violet"
"Flimsyful","Forest Green","This pill lets the user step into the shoes of the librarian who almost misfiled the Magna Carta.","Forest Green","Giving off a stench of rotten kapi.","Forest Green"
"Agricolenate","Pastel Yellow","This pill will make people think the user invented farming.","Pastel Yellow","Temporary transmogrification into an australopithecus.","Pastel Yellow"
"Necronomia","Magenta","This pill will make the user's smile contagious.","Magenta","Constant smiling may cause occasional facial muscle aches.","Magenta"
"Smirbles","Lilac","This pill gives the user the ability to affect prisoners with their birdwatching stories.","Lilac","Intense fear of feathers.","Lilac"
"Sloastr","Violet","This pill grants the user the ability to have equal compassion for corporate lawyers despite them being generally hated.","Violet","Infrequently morphing into a firefly.","Violet"
"Snudgen","Rose Pink","This pill gives the user the ability to use humour to challenge the status quo and inspire change.","Rose Pink","Intermittently writing the band Status Quo confused, strongly worded emails.","Rose Pink"
"Divinium","Forest Green","This pill gives the user the ability to burst bicycles with their singing.","Forest Green","Warning: this drug does not guarantee that the directions you receive will be correct.","Forest Green"
"Anny","Amber","This pill will give the user the wisdom of a mule.","Amber","A fascination with causing chaos and turbulence at social functions.","Amber"
"Vulpivirox","Amber","This pill will give the user the ability to diminish their own size to fit in a teacup.","Amber","A compulsion to play the audiobook of The Confessions of St Augustine by St Augustine of Hippo at full volume in the car with the windows down while driving to the shops.","Amber"
"Chumptonite","Lilac","This pill gives the user the power to puzzle publicans with their cosplaying.","Lilac","Trying to drum up local support for The Cotswold Olimpicks.","Lilac"
"Ec","Violet","This pill will give the user the power to understand the complex emotions of a houseplant.","Violet","Total embarrassment on hearing the phrase ""job well done"".","Violet"
"Ujura","Brown Ochre","This pill gives the user the ability to grow houseplants outdoors.","Brown Ochre","Increased attraction of insects.","Brown Ochre"
"Chuckalbrotha","Neon Green","This pill will give the user the strength to laugh in the face of death and other less terminal scenarios.","Neon Green","Difficulty identifying cruciferous vegetables in the supermarket.","Neon Green"
"Grelmox","Black","This pill gives the user the power to create wormholes, but only in their own wardrobe, leading to alternate dimensions where everyone is a mime artist.","Black","Inability to speak without miming along with their words.","Black"
"Solaar","Lilac","This pill gives the user the power to bewilder Tesla owners with their dog training.","Lilac","Immediate loss of bowel control on hearing the word 'quarterback'.","Lilac"
"Paenitentan","Forest Green","This pill induces a rebellious attitude towards authority.","Forest Green","Incorrect use of the word 'gastronomy'.","Forest Green"
"Zocket","Magenta","This pill will make the user have a pleasant hallucinatory experience when visiting the last resting place of Julius Caesar.","Magenta","Intermittent morphing into a cephalaspis.","Magenta"
"Bigamy","Magenta","This pill fills users with happiness when taking photos of tarmac.","Magenta","Uncontrollable excitement upon hearing the word ""surprise"".","Magenta"
"Brillorix","Cyan","This pill allows the user to communicate with angels and other celestial beings.","Cyan","Develops a fascination with the symbolism of ancient civilizations.","Cyan"
"Lobstrosna","Magenta","This pill will make the user have the experience of ensuring the success of the Boston Tea Party.","Magenta","Nervous cough in reaction to guitarists.","Magenta"
"Baricon","Forest Green","This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Tom Hanks.","Forest Green","Feeling an irresistible urge to reenact scenes from Tom Hanks movies.","Forest Green"
"Strawbezzle","Pastel Yellow","This pill will make the user act in a thoughtful fashion with people who are down on their luck.","Pastel Yellow","Insatiable interest in ostrich farmers for several days following use.","Pastel Yellow"
"Cherubim","Amber","This pill will make the user be able to belch for up to 80 seconds at a time.","Amber","Moving to Helsinki.","Amber"
"Cryptalina","Amber","This pill will give the user the ability to mutate their DNA to have glowing skin like a jellyfish.","Amber","Irrational fear of stress toys.","Amber"
"Cylonic","Lilac","This pill gives the user the ability to baffle aldermen with their poetry.","Lilac","Intermittently screaming out the window: ""Every man in Brainerd, Minnesota is required by law to grow a beard."".","Lilac"
"Capecod","Forest Green","This pill will make the user able to write graffiti on a public wall while mortally drunk without becoming a social outcast.","Forest Green","Insatiable interest in mechanical engineers for several days following use.","Forest Green"
"Swunchy","Lemon Yellow","This pill stops you from checking social media every 5 minutes.","Lemon Yellow","Fear of miniature Air Max 1's.","Lemon Yellow"
"Fluxiatonimorph","Lilac","This pill gives the user the ability to electrify writers with their juggling.","Lilac","Chewing on one's own tongue upon hearing the phrase ""wokerati"".","Lilac"
"Ribbytnolol","Amber","This pill will make the user be able to blow up their cheeks like an Indian bullfrog.","Amber","Telling anyone that make eye contact with you: ""No one may catch a fish with his bare hands."".","Amber"
"Lowestoft","Gray","This pill will give the user the ability to sell the shirts off other people's backs and pocket the money.","Gray","Inability to give compliments.","Gray"
"Grunchy","Magenta","This pill springs users into a magical swamp adventure.","Magenta","Regularly likening one's romantic partner to a plum tomato.","Magenta"
"Queachy","Violet","This pill will give the user the ability to improve the morale of football fans supporting a truly hopeless team.","Violet","Inexplicable need to create a choir that only sings in nonsensical languages.","Violet"
"Crovely","Magenta","This pill will make the user have the experience of lighting the candles at the premiere of Mozart's The Magic Flute.","Magenta","Inclination to conduct firefly orchestras. Overuse of the word 'whimsically'.","Magenta"
"Exogamy","Amber","This pill will give the user the features of a sheep.","Amber","Disgustingly merry body language.","Amber"
