#,seed,score,pauseRate,details
15,"qnyrq1q6",1,"100%","12/12 pauses"
16,"y1iad5fc",1,"100%","12/12 pauses"
17,"iki0k8sj",1,"100%","12/12 pauses"
18,"bdh33lhx",1,"100%","12/12 pauses"
19,"kkq5cgvs",1,"100%","12/12 pauses"
20,"i0sf4ezn",1,"100%","12/12 pauses"
21,"nsh4td6b",1,"100%","12/12 pauses"
22,"3lbzxcqy",1,"100%","12/12 pauses"
23,"usvk0ln9",1,"100%","12/12 pauses"
24,"vgq4aggy",1,"100%","12/12 pauses"
25,"161z1tp2",1,"100%","12/12 pauses"
26,"chbsupms",1,"100%","12/12 pauses"
27,"zwaex941",1,"100%","12/12 pauses"
28,"1yj10yoa",1,"100%","12/12 pauses"
29,"0d53spgn",1,"100%","12/12 pauses"
30,"bxn3ovpm",1,"100%","12/12 pauses"
31,"dhqvmsxy",1,"100%","12/12 pauses"
32,"i78iozsm",1,"100%","12/12 pauses"
33,"11stbur9",1,"100%","12/12 pauses"
34,"ripx4y5d",1,"100%","12/12 pauses"
35,"xads3wgb",1,"100%","12/12 pauses"
36,"61j76xub",1,"100%","12/12 pauses"
37,"xnjy6exo",1,"100%","12/12 pauses"
38,"7xpn101m",1,"100%","12/12 pauses"
39,"hqutptbr",1,"100%","12/12 pauses"
40,"1s7lo6lj",1,"100%","12/12 pauses"
41,"s1nsd4oi",1,"100%","12/12 pauses"
42,"1xmhq2je",1,"100%","12/12 pauses"
43,"88kvmm45",1,"100%","12/12 pauses"
44,"or4033kf",1,"100%","12/12 pauses"
45,"y91qocj1",1,"100%","12/12 pauses"
46,"tvuptn0p",1,"100%","12/12 pauses"
47,"84ppfw2m",1,"100%","12/12 pauses"
48,"jz5jhgzt",1,"100%","12/12 pauses"
49,"jb69lhm2",1,"100%","12/12 pauses"
50,"1b30svj1",1,"100%","12/12 pauses"
51,"sscjba2b",1,"100%","12/12 pauses"
52,"ra17c49k",1,"100%","12/12 pauses"
53,"n1p8ofd6",1,"100%","12/12 pauses"
54,"gx3v5616",1,"100%","12/12 pauses"
55,"51fhw6fe",1,"100%","12/12 pauses"
56,"3n4v3lta",1,"100%","12/12 pauses"
57,"pm685lnp",1,"100%","12/12 pauses"
58,"6mty6v6d",1,"100%","12/12 pauses"
59,"jqwx6i35",1,"100%","12/12 pauses"
60,"fgiqfybd",1,"100%","12/12 pauses"
61,"6ghrbh0u",1,"100%","12/12 pauses"
62,"7svghks4",1,"100%","12/12 pauses"
63,"ckls8lj8",1,"100%","12/12 pauses"
64,"gctuq8tf",1,"100%","12/12 pauses"
65,"j8la784e",1,"100%","12/12 pauses"
66,"kdua0i8v",1,"100%","12/12 pauses"
67,"p08sc26a",1,"100%","12/12 pauses"
68,"vk5ua7r4",1,"100%","12/12 pauses"
69,"cvi78sgj",1,"100%","12/12 pauses"
70,"lo6zmoor",1,"100%","12/12 pauses"
71,"6plbbkyz",1,"100%","12/12 pauses"
72,"8gw9662g",1,"100%","12/12 pauses"
73,"x1e10p9j",1,"100%","12/12 pauses"
74,"evjcxnpi",1,"100%","12/12 pauses"
75,"d9omvlur",1,"100%","12/12 pauses"
76,"0181pa78",1,"100%","12/12 pauses"
77,"payms5md",1,"100%","12/12 pauses"
78,"nveffipi",1,"100%","12/12 pauses"
79,"awj8bn96",1,"100%","12/12 pauses"
80,"w76ng4mt",1,"100%","12/12 pauses"
81,"f1xge2gv",1,"100%","12/12 pauses"
82,"yielphyp",1,"100%","12/12 pauses"
83,"r8yd9bf3",1,"100%","12/12 pauses"
84,"f0ejdnib",1,"100%","12/12 pauses"
85,"a29jfzbo",1,"100%","12/12 pauses"
86,"yrgbp0er",1,"100%","12/12 pauses"
87,"scy4b424",1,"100%","12/12 pauses"
88,"93ick8fn",1,"100%","12/12 pauses"
89,"twber7vx",1,"100%","12/12 pauses"
90,"trzz4pug",1,"100%","12/12 pauses"
91,"vm3sz0sf",1,"100%","12/12 pauses"
92,"x2xyn90z",1,"100%","12/12 pauses"
93,"fgarg5dz",1,"100%","12/12 pauses"
94,"zfddilrl",1,"100%","12/12 pauses"
95,"1lm1f48j",1,"100%","12/12 pauses"
96,"pd868avf",1,"100%","12/12 pauses"
97,"mkzup2ur",1,"100%","12/12 pauses"
98,"yldgf9ea",1,"100%","12/12 pauses"
99,"w4wpzm90",1,"100%","12/12 pauses"
100,"cn3ba0pl",1,"100%","12/12 pauses"
101,"e2407y5u",1,"100%","12/12 pauses"
102,"40nb9k7x",1,"100%","12/12 pauses"
103,"hmsd37f1",1,"100%","12/12 pauses"
104,"os3dk9ac",1,"100%","12/12 pauses"
105,"ghukro4c",1,"100%","12/12 pauses"
106,"4jlksomw",1,"100%","12/12 pauses"
107,"vhe6dcth",1,"100%","12/12 pauses"
108,"8jaw99rt",1,"100%","12/12 pauses"
109,"26ovq6q7",1,"100%","12/12 pauses"
110,"8k7cq1eh",1,"100%","12/12 pauses"
111,"cklcun85",1,"100%","12/12 pauses"
112,"sfsjxfwr",1,"100%","12/12 pauses"
113,"43xewl46",1,"100%","12/12 pauses"
114,"kv2i4n1x",1,"100%","12/12 pauses"
115,"xf7yi5pr",1,"100%","12/12 pauses"
116,"poptobs4",1,"100%","12/12 pauses"
117,"2tb76ti1",1,"100%","12/12 pauses"
118,"6qnrrehp",1,"100%","12/12 pauses"
119,"yknygwc0",1,"100%","12/12 pauses"
120,"x9i2gr0g",1,"100%","12/12 pauses"
121,"oiccbavp",1,"100%","12/12 pauses"
122,"hnsnhys6",1,"100%","12/12 pauses"
123,"2w30xkys",1,"100%","12/12 pauses"
124,"u21rlxl0",1,"100%","12/12 pauses"
125,"dx1mx4rk",1,"100%","12/12 pauses"
126,"h54jyr6y",1,"100%","12/12 pauses"
127,"yvcnnjnh",1,"100%","12/12 pauses"
128,"7mlq8000",1,"100%","12/12 pauses"
129,"45ydcoi2",1,"100%","12/12 pauses"
130,"xxfiyzhz",1,"100%","12/12 pauses"
131,"9n43uoht",1,"100%","12/12 pauses"
132,"3zfgt8la",1,"100%","12/12 pauses"
133,"jzliibsy",1,"100%","12/12 pauses"
134,"949pnymq",1,"100%","12/12 pauses"
135,"ap7z2awn",1,"100%","12/12 pauses"
136,"j5xopsx9",1,"100%","12/12 pauses"
137,"b4f6d7y2",1,"100%","12/12 pauses"
138,"6943c0cp",1,"100%","12/12 pauses"
139,"7ehstuli",1,"100%","12/12 pauses"
140,"538ca66c",1,"100%","12/12 pauses"
141,"cj9axu3d",1,"100%","12/12 pauses"
142,"vptywtrq",1,"100%","12/12 pauses"
143,"fzpq5gnl",1,"100%","12/12 pauses"
144,"2m0f5ix5",1,"100%","12/12 pauses"
145,"9c9bemuq",1,"100%","12/12 pauses"
146,"7uf3kl44",1,"100%","12/12 pauses"
147,"icwpc2xu",1,"100%","12/12 pauses"
148,"d10hnaq9",1,"100%","12/12 pauses"
149,"up31n7hs",1,"100%","12/12 pauses"
150,"y6dzk4r3",1,"100%","12/12 pauses"
151,"umdclu3w",1,"100%","12/12 pauses"
152,"fo8tkqt4",1,"100%","12/12 pauses"
153,"pu270g8t",1,"100%","12/12 pauses"
154,"1ktvpqiv",1,"100%","12/12 pauses"
155,"dywkb8vu",1,"100%","12/12 pauses"
156,"cs9hoc2m",1,"100%","12/12 pauses"
157,"2rzhkzwh",1,"100%","12/12 pauses"
158,"5h8kfooe",1,"100%","12/12 pauses"
159,"x8wocjj0",1,"100%","12/12 pauses"
160,"302hphv5",1,"100%","12/12 pauses"
161,"szcvz4bc",1,"100%","12/12 pauses"
162,"h1qigpd2",1,"100%","12/12 pauses"
163,"zjp990je",1,"100%","12/12 pauses"
164,"wn1ufh70",1,"100%","12/12 pauses"
165,"nz59p5sn",1,"100%","12/12 pauses"
166,"5xk9teid",1,"100%","12/12 pauses"
167,"q6v07l60",1,"100%","12/12 pauses"
168,"j80lzzwq",1,"100%","12/12 pauses"
169,"9iu1mav4",1,"100%","12/12 pauses"
170,"shas9io8",1,"100%","12/12 pauses"
171,"zthk87oi",1,"100%","12/12 pauses"
172,"rjbre3yq",1,"100%","12/12 pauses"
173,"s38mycbg",1,"100%","12/12 pauses"
174,"d2vk5vqv",1,"100%","12/12 pauses"
175,"wiy2i4qt",1,"100%","12/12 pauses"
176,"drrr64id",1,"100%","12/12 pauses"
177,"g44vik85",1,"100%","12/12 pauses"
178,"9pzonjrg",1,"100%","12/12 pauses"
179,"qlnlxvha",1,"100%","12/12 pauses"
180,"5hrdxfqr",1,"100%","12/12 pauses"
181,"q2iqhw59",1,"100%","12/12 pauses"
182,"ki9wgiyg",1,"100%","12/12 pauses"
183,"t8o2glds",1,"100%","12/12 pauses"
184,"o493qph2",1,"100%","12/12 pauses"
185,"nyp8y4kr",1,"100%","12/12 pauses"
186,"j3021gqu",1,"100%","12/12 pauses"
187,"r0t9dgoi",1,"100%","12/12 pauses"
188,"oe7up725",1,"100%","12/12 pauses"
189,"f4ababdo",1,"100%","12/12 pauses"
190,"6fub6chm",1,"100%","12/12 pauses"
191,"10ksyxe8",1,"100%","12/12 pauses"
192,"e9xs74po",1,"100%","12/12 pauses"
193,"p1teuavy",1,"100%","12/12 pauses"
194,"0rduzjr3",1,"100%","12/12 pauses"
195,"ws58gcc4",1,"100%","12/12 pauses"
196,"j2b5glcr",1,"100%","12/12 pauses"
197,"diredgrt",1,"100%","12/12 pauses"
198,"pcxvkydg",1,"100%","12/12 pauses"
199,"p2s8az6t",1,"100%","12/12 pauses"
200,"dw3ihhcr",1,"100%","12/12 pauses"
201,"2psub7yx",1,"100%","12/12 pauses"
202,"379ypveh",1,"100%","12/12 pauses"
203,"40rl67ft",1,"100%","12/12 pauses"
204,"7r77lz4n",1,"100%","12/12 pauses"
205,"q5jrx9fu",1,"100%","12/12 pauses"
206,"6fd8xal6",1,"100%","12/12 pauses"
207,"vaoo5zjr",1,"100%","12/12 pauses"
208,"bw7xmkp7",1,"100%","12/12 pauses"
209,"qkuh3p2f",1,"100%","12/12 pauses"
210,"jjv69l3z",1,"100%","12/12 pauses"
211,"vycz18v6",1,"100%","12/12 pauses"
212,"ff0l359a",1,"100%","12/12 pauses"
213,"hy1z3tn3",1,"100%","12/12 pauses"
214,"3volnbej",1,"100%","12/12 pauses"
215,"x65vzjll",1,"100%","12/12 pauses"
216,"msu6j5nm",1,"100%","12/12 pauses"
217,"a98dzxp4",1,"100%","12/12 pauses"
218,"pst6nulm",1,"100%","12/12 pauses"
219,"4yty11om",1,"100%","12/12 pauses"
220,"xfq17mbp",1,"100%","12/12 pauses"
221,"a2p33tss",1,"100%","12/12 pauses"
222,"j0r2p222",1,"100%","12/12 pauses"
223,"umanh67h",1,"100%","12/12 pauses"
224,"8w6bg5o6",1,"100%","12/12 pauses"
225,"b5axpilg",1,"100%","12/12 pauses"
226,"zyy23evr",1,"100%","12/12 pauses"
227,"xb5ds1ki",1,"100%","12/12 pauses"
228,"ojt6h4w5",1,"100%","12/12 pauses"
229,"yh2a66qr",1,"100%","12/12 pauses"
230,"so2ygw7k",1,"100%","12/12 pauses"
231,"ys735sy9",1,"100%","12/12 pauses"
232,"1eeuxxyu",1,"100%","12/12 pauses"
233,"ot0bm4yz",1,"100%","12/12 pauses"
234,"7sxsepeb",1,"100%","12/12 pauses"
235,"1c9ttn1p",1,"100%","12/12 pauses"
236,"fvdimabl",1,"100%","12/12 pauses"
237,"um3h5ban",1,"100%","12/12 pauses"
238,"y45qx3hg",1,"100%","12/12 pauses"
239,"1j3d3dva",1,"100%","12/12 pauses"
240,"pr8z5ds2",1,"100%","12/12 pauses"
241,"jahpg0jg",1,"100%","12/12 pauses"
242,"y20uqe73",1,"100%","12/12 pauses"
243,"fwjagyrq",1,"100%","12/12 pauses"
244,"grmgiw3j",1,"100%","12/12 pauses"
245,"ykvxpjec",1,"100%","12/12 pauses"
246,"5g9hzife",1,"100%","12/12 pauses"
247,"w5z63ysk",1,"100%","12/12 pauses"
248,"qn1n602r",1,"100%","12/12 pauses"
249,"elery19i",1,"100%","12/12 pauses"
250,"z2f6xy21",1,"100%","12/12 pauses"
251,"wb57oxjw",1,"100%","12/12 pauses"
252,"tzz53mir",1,"100%","12/12 pauses"
253,"y7qvhmc1",1,"100%","12/12 pauses"
254,"totzbir2",1,"100%","12/12 pauses"
255,"nto8o9pf",1,"100%","12/12 pauses"
256,"i5vsll2b",1,"100%","12/12 pauses"
257,"4hq1tdmq",1,"100%","12/12 pauses"
258,"r2plijsi",1,"100%","12/12 pauses"
259,"exyeygmm",1,"100%","12/12 pauses"
260,"pbpwdfpc",1,"100%","12/12 pauses"
261,"euvtyfph",1,"100%","12/12 pauses"
262,"notfwt98",1,"100%","12/12 pauses"
263,"s65fgk46",1,"100%","12/12 pauses"
264,"e8sisk5t",1,"100%","12/12 pauses"
265,"ojgg03v7",1,"100%","12/12 pauses"
266,"3rrzcalv",1,"100%","12/12 pauses"
267,"biaqn37b",1,"100%","12/12 pauses"
268,"k5yb85ar",1,"100%","12/12 pauses"
269,"ipel9wo6",1,"100%","12/12 pauses"
270,"fhdier4g",1,"100%","12/12 pauses"
271,"jcqele14",1,"100%","12/12 pauses"
272,"1gaih0b4",1,"100%","12/12 pauses"
273,"dm2zq206",1,"100%","12/12 pauses"
274,"b48818x4",1,"100%","12/12 pauses"
275,"scp9j6ni",1,"100%","12/12 pauses"
276,"906r9arj",1,"100%","12/12 pauses"
277,"awqjqghb",1,"100%","12/12 pauses"
278,"ns6n8ktc",1,"100%","12/12 pauses"
279,"iua7jj4s",1,"100%","12/12 pauses"
280,"ywnnrdmp",1,"100%","12/12 pauses"
281,"3b7ozidj",1,"100%","12/12 pauses"
282,"r7scf378",1,"100%","12/12 pauses"
283,"bg8wqj7q",1,"100%","12/12 pauses"
284,"27z0o51p",1,"100%","12/12 pauses"
285,"fmihrmv5",1,"100%","12/12 pauses"
286,"swmr9yh6",1,"100%","12/12 pauses"
287,"s6psbdif",1,"100%","12/12 pauses"
288,"inxpdbqm",1,"100%","12/12 pauses"
289,"jmvpm1yu",1,"100%","12/12 pauses"
290,"3tty84hp",1,"100%","12/12 pauses"
291,"bav5ugjt",1,"100%","12/12 pauses"
292,"fk23xf65",1,"100%","12/12 pauses"
293,"m7tw89xa",1,"100%","12/12 pauses"
294,"0rwpeq7h",1,"100%","12/12 pauses"
295,"r1zjh6i5",1,"100%","12/12 pauses"
296,"ycy41isx",1,"100%","12/12 pauses"
297,"x28wlq2e",1,"100%","12/12 pauses"
298,"fvtahm9b",1,"100%","12/12 pauses"
299,"0hdq52f2",1,"100%","12/12 pauses"
300,"il6inpu6",1,"100%","12/12 pauses"
301,"h50q5dx8",1,"100%","12/12 pauses"
302,"emfkf6ic",1,"100%","12/12 pauses"
303,"442wuua3",1,"100%","12/12 pauses"
304,"9wczmpqa",1,"100%","12/12 pauses"
305,"5kajhx92",1,"100%","12/12 pauses"
306,"fw4f902w",1,"100%","12/12 pauses"
307,"uigoaceu",1,"100%","12/12 pauses"
308,"nk3o4k8f",1,"100%","12/12 pauses"
309,"cr1qz1jx",1,"100%","12/12 pauses"
310,"0loj4xgm",1,"100%","12/12 pauses"
311,"bnedrvkv",1,"100%","12/12 pauses"
312,"nds5gytq",1,"100%","12/12 pauses"
313,"k2s6hzcr",1,"100%","12/12 pauses"
314,"fb8w3inv",1,"100%","12/12 pauses"
315,"im50uwu1",1,"100%","12/12 pauses"
316,"1e6tl59f",1,"100%","12/12 pauses"
317,"pi7j2bp1",1,"100%","12/12 pauses"
318,"dgtctw9n",1,"100%","12/12 pauses"
319,"707nu615",1,"100%","12/12 pauses"
320,"tlbbcfyp",1,"100%","12/12 pauses"
321,"2a5ljthp",1,"100%","12/12 pauses"
322,"sacwif7s",1,"100%","12/12 pauses"
323,"b0f21xph",1,"100%","12/12 pauses"
324,"l39vhqsb",1,"100%","12/12 pauses"
325,"ztx8clu1",1,"100%","12/12 pauses"
326,"bqrzoahz",1,"100%","12/12 pauses"
327,"f9114zjy",1,"100%","12/12 pauses"
328,"4z9jatms",1,"100%","12/12 pauses"
329,"wfbyhrwd",1,"100%","12/12 pauses"
330,"wildbexy",1,"100%","12/12 pauses"
331,"j9b1w83t",1,"100%","12/12 pauses"
332,"9m6w11ds",1,"100%","12/12 pauses"
333,"n4sl2x4z",1,"100%","12/12 pauses"
334,"233ivkfw",1,"100%","12/12 pauses"
335,"t20f5gej",1,"100%","12/12 pauses"
336,"1p8271z6",1,"100%","12/12 pauses"
337,"6kte2ubn",1,"100%","12/12 pauses"
338,"8jxbw9bu",1,"100%","12/12 pauses"
339,"k3rsrgj1",1,"100%","12/12 pauses"
340,"ywp6sn58",1,"100%","12/12 pauses"
341,"hvrhtcun",1,"100%","12/12 pauses"
342,"q1mwgsy0",1,"100%","12/12 pauses"
343,"jz6j1hap",1,"100%","12/12 pauses"
344,"337fxskq",1,"100%","12/12 pauses"
345,"0ke8qama",1,"100%","12/12 pauses"
346,"7qppc65j",1,"100%","12/12 pauses"
347,"me62vewx",1,"100%","12/12 pauses"
348,"96o3s5gr",1,"100%","12/12 pauses"
349,"mocwz6tp",1,"100%","12/12 pauses"
350,"spsx3psk",1,"100%","12/12 pauses"
351,"oohakhjf",1,"100%","12/12 pauses"
352,"2i45wth8",1,"100%","12/12 pauses"
353,"udb7uc6d",1,"100%","12/12 pauses"
354,"q798jtea",1,"100%","12/12 pauses"
355,"277h7mu5",1,"100%","12/12 pauses"
356,"cq7pkkzi",1,"100%","12/12 pauses"
357,"lhw892cq",1,"100%","12/12 pauses"
358,"klzu3xhg",1,"100%","12/12 pauses"
359,"c0emwn7z",1,"100%","12/12 pauses"
360,"7m7tsx2b",1,"100%","12/12 pauses"
361,"898mb2pl",1,"100%","12/12 pauses"
362,"dt88qd2e",1,"100%","12/12 pauses"
363,"acp823vc",1,"100%","12/12 pauses"
364,"d7jgs304",1,"100%","12/12 pauses"
365,"rc1w9cq4",1,"100%","12/12 pauses"
366,"a0yjvwpc",1,"100%","12/12 pauses"
367,"sugitrj9",1,"100%","12/12 pauses"
368,"ice7lm46",1,"100%","12/12 pauses"
369,"vrtf4btl",1,"100%","12/12 pauses"
370,"rja37j5m",1,"100%","12/12 pauses"
371,"ofigbnxm",1,"100%","12/12 pauses"
372,"4mmug9re",1,"100%","12/12 pauses"
373,"hedmbrvy",1,"100%","12/12 pauses"
374,"8fjcff3c",1,"100%","12/12 pauses"
375,"g5tvhbqv",1,"100%","12/12 pauses"
376,"kxhg31kl",1,"100%","12/12 pauses"
377,"sjn0l5y3",1,"100%","12/12 pauses"
378,"09lbya2p",1,"100%","12/12 pauses"
379,"nq2lsa1x",1,"100%","12/12 pauses"
380,"dxuqu2hc",1,"100%","12/12 pauses"
381,"9cceanug",1,"100%","12/12 pauses"
382,"c6tx27k8",1,"100%","12/12 pauses"
383,"dml24o7u",1,"100%","12/12 pauses"
384,"iolk0kh4",1,"100%","12/12 pauses"
385,"qa4m8bp7",1,"100%","12/12 pauses"
386,"jrv8zmrp",1,"100%","12/12 pauses"
387,"45sv90oh",1,"100%","12/12 pauses"
388,"ll6bkhcf",1,"100%","12/12 pauses"
389,"tj8mqx1u",1,"100%","12/12 pauses"
390,"yw59a8yi",1,"100%","12/12 pauses"
391,"tfpum6wy",1,"100%","12/12 pauses"
392,"pyzgjf3k",1,"100%","12/12 pauses"
393,"x22xtx7p",1,"100%","12/12 pauses"
394,"pppsbmqk",1,"100%","12/12 pauses"
395,"e2p29j7i",1,"100%","12/12 pauses"
396,"4bz0te74",1,"100%","12/12 pauses"
397,"mxyac6gf",1,"100%","12/12 pauses"
398,"z4bxyzt8",1,"100%","12/12 pauses"
399,"2vii9qkt",1,"100%","12/12 pauses"
400,"gwmaegt1",1,"100%","12/12 pauses"
401,"986551wy",1,"100%","12/12 pauses"
