id,name,shape,base,extras,outline,hex1,hex2,expression,animation,score,effect,sideEffect.,,,,,,,,,,,,
42,Kublionese,Capsule,Orange,None,Green,#54e507,#54e507,X(,None,36.51%,Experience virtual warmth.,Fear of pretty flowers.,,,,,,,,,,,,
43,Sharpeee,Pentagon,Peach,None,Green,#ff00ff,#ffde00,XI,None,11.28%,This pill will make the user act in a slightly stupid fashion when others are being deadly serious.,Intense fear of photo montages.,,,,,,,,,,,,
44,Broguerycin,Pentagon,Peach,None,Green,#ffedd7,#ffde00,X{},None,11.28%,This pill will make the user be able to be the character in their favourite film for one screening.,Accidentally becoming an often cited expert in engineering.,,,,,,,,,,,,
45,Soybez,Pentagon,Green + Purple,None,Pink,#ffedd7,#ffde00,X*,None,11.28%,This pill will make the user an expert in geophylonomy.,Intense fear of penalty shootouts.,,,,,,,,,,,,
46,Lacirificane,Triangle,Red,None,Blue,#903ef9,#fc8300,XI,None,3.98%,This pill will give the user the power to make anyone they touch speak in gibberish for 10 minutes without them realising they're doing it.,Excessive use of French when with an newspaper editor.,,,,,,,,,,,,
47,Simmonith Hernandedrinker,Capsule,Purple,None,Green,#903ef9,#ffedd7,XO,None,36.51%,This pill will gain the user $3k whenever they see an image of a badger.,Enchanting hallucinatory experiences with a black-headed python.,,,,,,,,,,,,
48,Mythia,Round,Red + Blue,None,Blue,#ffde00,#ff00ff,X\,None,5.33%,This pill allows the user to enter a deep state of trance and access their subconscious mind.,May cause the user to experience vivid and disturbing nightmares.,,,,,,,,,,,,
49,Myeriatha,Rectangle,Yellow + Blue,None,Green,#0bc4ff,#903ef9,X(,None,2.95%,This pill will give the user the strength to forgive any teacher who treated them unfairly.,"An irresistible urge to start a fan club for mundane objects, such as staplers or paper clips.",,,,,,,,,,,,
50,Twerfin,Star,Green,None,Yellow,#ff00ff,#ffedd7,XP,None,13.37%,This pill grants the user the power to create comedic skits and performances that leave audiences in stitches.,Thinking your parents have been replaced by aliens.,,,,,,,,,,,,
51,Smoakskream,Diamond X,Blue X,Pink Burst X,Pink X,##1206ff,##ff00ff,X{} X,Yes,1.22%,This pill will transform the user into a superhero hell-bent on convincing high school kids the world over to stop vaping.,Hoarse throat from shouting 24/7.,,,,,,,,,,,,
52,Dribb,Star,Pink,None,Purple,#903ef9,#ff00ff,X(,None,13.37%,"This pill will give the user the power to alleviate others' stress with a single, understanding nod.",Involuntary head-nodding.,,,,,,,,,,,,
53,Mivlarox,Diamond,Blue,None,Pink,#ffde00,#ff00ff,X{.,None,7.24%,This pill will give the user the strength of a pintail.,"Instant loss of all interest when someone uses the phrase ""frictionless"".",,,,,,,,,,,,
54,Fofzib,Diamond,Pink,None,Peach,#ffedd7,#ff00ff,XQ,None,7.24%,This pill will make the user be able to teleport to forbidden locations.,Heart palpitations and an inability to find matching socks.,,,,,,,,,,,,
55,Griefsponge,Pentagon X,Green X,Blue Burst X,Green X,##1206ff,##54e507,X( X,Yes,1.28%,This pill will give the user the power absorb other people's hangovers for them.,"Fatigue, weakness, thirst, headache, muscle aches, nausea, stomach pain, vertigo, sensitivity to light and sound, anxiety, irritability and a lot of sweating.",,,,,,,,,,,,
56,Uperonity,Capsule,Rainbow 2,None,Purple,#ffde00,#ffedd7,XU,None,36.51%,This pill gives the user the ability to turn water into ice by giving it a stern talking to.,Dry mouth and occasional stuttering.,,,,,,,,,,,,
57,Berrie,Pentagon,Peach,None,Green,#ff00ff,#ffedd7,X),None,11.28%,This pill takes users on a mystical marine quest.,Regularly mistaking one's romantic partner for a bowl of anchovies.,,,,,,,,,,,,
58,Qrofth,Star,Yellow + Purple,None,Pink,#ff00ff,#ff00ff,XV,None,13.37%,This pill allows the user to strike incredible deals with anybody they are haggling with.,"Immediate loss of balance after hearing the word ""amend"".",,,,,,,,,,,,
59,Harbor,Oval,Orange,None,Pink,#fc8300,#ff00ff,X\,None,9.91%,Unwavering willpower to achieve goals,Fear of being alone in the library.,,,,,,,,,,,,
60,Falseist,Oval,Yellow,None,Green,#ff00ff,#ffde00,X{},None,9.91%,This pill will make the user able to regenerate their limbs like a starfish.,Intense fear of Philips products.,,,,,,,,,,,,
61,Plinar,Round,Green,None,Red,#ffde00,#ff00ff,XO,None,5.33%,This pill will make the user act out scenes from Law and Order when they see a person with a hawk.,Passing transmogrification into a teleporting snowflake.,,,,,,,,,,,,
62,Muttiel,Star,Red + Yellow,None,Green,#ffde00,#ff00ff,X(,None,13.37%,This pill will allow the user to assist someone who has had an embarrassing wardrobe malfunction in public.,Insatiable interest in side dishes for several days following use.,,,,,,,,,,,,
63,Yulin,Pentagon,Red,None,Pink,#54e507,#ffde00,X(,None,11.28%,This pill enables the user to offer compassion to those who forget their umbrellas on a rainy day.,Potentially unhealthy obsession with strangers' mental faculties.,,,,,,,,,,,,
64,Bandeaux69,Capsule,Yellow,None,Yellow,#ffde00,#54e507,XI,None,36.51%,"This pill will give the user the ability to make others act in a vacant, distant fashion when eating cheeseburgers.",Delightful colour-changing toenails.,,,,,,,,,,,,
65,Aldihyde,Pentagon,Orange + Pink,Multi Burst,Pink,#ffde00,#ffde00,X],None,11.28%,This pill will make the user feel like they are being watched whenever they're in a supermarket.,Refusing to swim following heavy use.,,,,,,,,,,,,
66,Swarpet,Star,Blue,None,Orange,#903ef9,#ff00ff,XO,None,13.37%,This pill gives the user the power to astound soldiers with their trousers.,Insatiable interest in lost worlds for several days following use.,,,,,,,,,,,,
67,Chalky,Star,Pink,None,Orange,#903ef9,#0bc4ff,X),None,13.37%,This pill will make the user be able to do a new party trick at every party the user go to.,"Learning to juggle at parties, but only with someone else's personal belongings.",,,,,,,,,,,,
68,Pabble,Capsule,Peach,None,Orange,#ffde00,#0bc4ff,XD,None,36.51%,This pill will make the user feel like they are funny even when they're quite the opposite.,"Uncontrollable laughter at your own jokes, even when no one else is laughing.",,,,,,,,,,,,
69,Animax,Diamond,Pink,None,Pink,#ffedd7,#903ef9,X\,None,7.24%,This pill helps the user say no to watching another episode when binge-watching a series.,Intense fear of obelisks.,,,,,,,,,,,,
70,Goer,Pentagon,Pink,None,Pink,#ffde00,#54e507,X(,None,11.28%,This pill will give the user the power to console individuals who have mispronounced a word during an important presentation.,Insatiable interest in rattlesnakes for several days following use.,,,,,,,,,,,,
71,Smeese,Capsule,Green + Purple,None,Purple,#ffde00,#ff00ff,X],None,36.51%,This pill will give the user the ability to induce disorder and mayhem by playing the sound of an alarm clock at unexpected times,A compulsion to play the audiobook of On the Origin of Species by Charles Darwin at full volume in the car with the windows down while driving to the shops.,,,,,,,,,,,,
72,Skettles,Capsule,Pink,None,Pink,#ffde00,#ff00ff,X(,None,36.51%,"This pill will grant users the power to replace angry outbursts with spontaneous fits of uncontrollable giggling, instantly dissolving negativity.",Inability to stop quoting Henry David Thoreau.,,,,,,,,,,,,
73,Wobal,Capsule,Yellow,None,Green,#ffde00,#903ef9,XI,None,36.51%,This pill will make the user act prudently when doing the big shop.,Intense fear of screeching.,,,,,,,,,,,,
74,Psychotropix,Pentagon,Yellow + Purple,None,Green,#54e507,#903ef9,X(,None,11.28%,This pill will give the user the ability to show consideration towards people working in hospitality when one is in a foul mood.,Cravings for potato salad served on a frisbee.,,,,,,,,,,,,
75,Tryhardipanomine,Pentagon,Rainbow 2,Black Burst,Yellow,#ff00ff,#ffde00,X],None,11.28%,"For the treatment of 'try hards', particularly when all other intervention has failed",May cause short bouts of self loathing,,,,,,,,,,,,
76,Bargee,Rectangle,Yellow + Purple,None,Orange,#ff00ff,#ffde00,X{},None,2.95%,This pill allows the user to erase and alter memories.,Forgetting the names of your favorite songs.,,,,,,,,,,,,
77,Voomteer,Star,Pink,None,Purple,#ff00ff,#ffedd7,XD,None,13.37%,Makes you the funniest person in the room,"Side-effect: Your jokes become so funny they're deadly, literally.",,,,,,,,,,,,
78,Bourree,Round,Green,None,Red,#ff0000,#0bc4ff,X(,None,5.33%,This pill will give the user the power to forgive any court judge who has unfairly violated them in any way.,Inexplicable urge to create elaborate sand sculptures in public parks.,,,,,,,,,,,,
79,Pired,Star,Yellow + Purple,None,Purple,#903ef9,#ffedd7,X),None,13.37%,This pill will make the user act out scenes from True Blood whenever they're shown an image of a flamingo.,A craving for juicy gossip about people you don't know.,,,,,,,,,,,,
80,Fap,Pentagon,Green + Purple,None,Purple,#fc8300,#54e507,X(,None,11.28%,This pill will give the user the ability to soothe the minds of the stressed by showing them pictures of cats dressed as humans.,Sudden belief that the secret to happiness can be found in juggling.,,,,,,,,,,,,
81,Didiza,Capsule,Orange,None,Green,#54e507,#ff00ff,X{},None,36.51%,This pill will give the user the ability to commute by jumping like a kangaroo.,Inability to stop quoting Angela Merkel.,,,,,,,,,,,,
82,Dex,Diamond,Rainbow 1,None,Green,#54e507,#903ef9,XO,None,7.24%,This pill will give the user the power to come to major realisations about where they've gone wrong (and right) in life.,Fear of numbers.,,,,,,,,,,,,
83,Gobstripe,Pentagon X,Light Blue X,Pink Burst X,Pink X,##ff00ff,##0bc4ff,X* X,Yes,1.28%,This pill will make the user have brilliant game-changing ideas for as long as they can keep a live wasp in their mouth.,Dangerously swollen tongue.,,,,,,,,,,,,
84,Homier,Diamond,Peach,None,Peach,#54e507,#ffde00,X(,None,7.24%,This pill grants the user the ability to feel strong compassion towards crime scene cleaners despite finding them weird.,Socially detrimental obsession with torches.,,,,,,,,,,,,
85,Vuzzal,Star,Yellow + Purple,Multi Burst,Green,#903ef9,#54e507,XU,None,13.37%,This pill will make the user be able to make the ocean turn red through any contact with their skin.,Any sneaked urination can lead to intense bubbling of water around user and acrid ammonia-like smell.,,,,,,,,,,,,
86,Shadier,Capsule,Red,None,Purple,#ff00ff,#903ef9,XI,None,36.51%,This pill will make the user act in a sad fashion when eating muesli.,Adverse physiological reaction to long sticks affecting a large proportion of users.,,,,,,,,,,,,
87,Ethereaphrine,Star,Red,None,Pink,#54e507,#903ef9,X),None,13.37%,This pill will implant in the user memories of singing alongside legendary musicians in a colourful karaoke extravaganza in Kathmandu.,"Violent reaction to use of the phrase ""secret sauce"".",,,,,,,,,,,,
88,Dangle,Pentagon,Yellow + Blue,None,Pink,#ff00ff,#54e507,X{},None,11.28%,This pill will make the user able to turn invisible and spy on their enemies.,Fascinating hallucinatory experiences with a midget faded rattlesnake.,,,,,,,,,,,,
89,Meached,Capsule,Peach,None,Green,#ff00ff,#ffde00,X(,None,36.51%,This pill will enable users to orchestrate impromptu acts of kindness.,Overuse of the word 'zealous'.,,,,,,,,,,,,
90,Adament,Star,Red,None,Yellow,#ff00ff,#ff00ff,X),None,13.37%,"This pill will make every elevator ride a thrilling, laughter-filled roller coaster experience, complete with twists, turns, and loop-de-loops",Loss of bowel control upon seeing a bread stick.,,,,,,,,,,,,
91,Glope,Diamond,Rainbow 1,None,Pink,#0bc4ff,#ff00ff,X(,None,7.24%,This pill grants the user the ability to feel strong compassion towards telemarketers despite finding them annoying.,Posting all one's belongings to random addresses in Hamburg.,,,,,,,,,,,,
92,Cybersex22,Pentagon,Purple,None,Purple,#ffedd7,#ff00ff,XO,None,11.28%,This pill gives the user the power to confound smokers with their wine knowledge.,Attempting to overthrow local government in Murcia.,,,,,,,,,,,,
93,Tachyon,Triangle,Green,None,Pink,#ff00ff,#ffedd7,X),None,3.98%,This pill makes the user the life and soul of dinner parties,Over-the-top food presentations and themed attire.,,,,,,,,,,,,
94,Chuffol,Star,Yellow + Blue,Gold Burst,Peach,#ff00ff,#ffde00,X{.,None,13.37%,This pill will make the user fearless when getting a full body wax.,Excessive body hair growth.,,,,,,,,,,,,
95,Tugan,Pentagon,Red + Yellow,None,Pink,#ffedd7,#54e507,X(,None,11.28%,This pill will make the user feel caring when being interviewed for their dream job.,"Excessive enthusiasm during interviews, causing raised expectations.",,,,,,,,,,,,
96,Wumbs,Oval,Purple,None,Yellow,#ffde00,#ff00ff,X],None,9.91%,This pill lets the user become the cartographer who almost moved the Great Pyramids by incorrectly mapping Giza.,A preference for over-cautious behaviour at theme parks.,,,,,,,,,,,,
97,Hoorsh,Oval,Orange + Pink,None,Peach,#903ef9,#ff00ff,X),None,9.91%,"This pill will make the user see a bright, colourful aura around their friends whenever they hear the word ""microphone"".",An uncanny skill for hamster racing.,,,,,,,,,,,,
98,Chuckster,Oval,Red,None,Peach,#ffde00,#54e507,XO,None,9.91%,This pill gives the user the ability to astonish police with their theories.,Intermittent shouting of the word 'kaleidoscope'.,,,,,,,,,,,,
99,Panchef,Rectangle,Rainbow 1,None,Peach,#903ef9,#ff00ff,X(,None,2.95%,This pill will give the user the ability to love the otherwise unlovable.,Uncontrollable desire to share motivational quotes on social media.,,,,,,,,,,,,
100,Gloopitinax,Pentagon,Orange + Pink,Gold Burst,Yellow,#903ef9,#54e507,X],None,11.28%,This pill will make the user feel like they are wanted by the police.,Driving away at speeds while thinking one is being pursued by police can lead to actual pursuit by police and subsequent charges.,,,,,,,,,,,,
101,Hapzone29,Capsule,Blue,None,Green,#ffedd7,#54e507,XD,None,36.51%,Turns your words into comedic gold,"Inability to stop talking, fearing loss of comedic gold.",,,,,,,,,,,,
102,Wagwalker,Star,Red,None,Peach,#903ef9,#ff00ff,XO,None,13.37%,This pill gives the user the ability to throw off grammarians with their coffee roasting.,"Inability to walk forward after hearing the word ""arrest"".",,,,,,,,,,,,
103,Chimera,Capsule,Green,None,Purple,#ffedd7,#ffde00,X),None,36.51%,This pill will give the user an intense appreciation for the simple joys of breakfast.,"Severe allergic reaction to the phrase ""core competencies"".",,,,,,,,,,,,
104,Graninki,Capsule,Red + Yellow,None,Yellow,#ffde00,#ffde00,X),None,36.51%,This pill will make the user have the experience of experiencing the wildest historical celebrations with Genghis Khan.,Pathological hatred of cheese boards.,,,,,,,,,,,,
105,Cogent,Capsule,Pink,None,Peach,#ffedd7,#ff00ff,X{},None,36.51%,This pill will make the user be able to mimic anything they touch.,Trying to drum up local support for camel jumping.,,,,,,,,,,,,
106,Flonkyspam,Rectangle,Green,None,Purple,#903ef9,#ff00ff,X(,None,2.95%,This pill will give the user the power to forgive any flight attendant who ruined their flight with their terrible attitude and service.,Accidentally speaking in an exaggerated flight attendant voice during conversations.,,,,,,,,,,,,
107,Squibin,Round,Rainbow 2,None,Green,#ffde00,#ff00ff,XO,None,5.33%,This pill gives the user the ability to mislead singers with their home improvement tales.,Dizziness and loss of appetite.,,,,,,,,,,,,
108,Hunchoonzen,Star,Pink,None,Purple,#903ef9,#ffde00,XI,None,13.37%,This pill will make the user appear cool and distant for a month.,Consistently messy bathroom.,,,,,,,,,,,,
109,Rolfeo,Rectangle,Orange,None,Purple,#fc8300,#54e507,XJ,None,2.95%,This pill will give the user the ability to manipulate people into joining their cult by telling insanely funny jokes all the time.,An uncontrollable compulsion to tell inappropriate jokes at the worst possible times.,,,,,,,,,,,,
110,Sardonyx19,Pentagon,Yellow + Purple,None,Purple,#ff00ff,#ffedd7,X{},None,11.28%,This pill will make the user amazing at jet skiing.,Intense fear of river tours.,,,,,,,,,,,,
111,Wimping,Star,Orange + Pink,None,Pink,#ffde00,#54e507,XO,None,13.37%,This pill gives the user the power to confound hippies with their woodworking.,May cause the user to randomly burst into song and dance.,,,,,,,,,,,,
112,Blunttonite,Pentagon,Yellow,None,Yellow,#fc8300,#ff00ff,X(,None,11.28%,This pill will make the user feel optimistic between 10am - 11:30am each day.,Fizzing inflammation of the tongue.,,,,,,,,,,,,
113,Mystorin,Pentagon,Yellow,Gold Burst,Green,#ffde00,#ffde00,X(,None,11.28%,This pill will grant the user the strength to show mercy to people who don't return their shopping trolley.,Inexplicable urge to perform spoken word renditions of TV commercial jingles.,,,,,,,,,,,,
114,Lactic,Capsule,Pink,None,Green,#ffedd7,#ffedd7,XI,None,36.51%,This pill will give the user the ability to physically control nightclub doormen.,Immediate loss of bowel control on hearing the word 'confit'.,,,,,,,,,,,,
115,Barmycin,Diamond,Pink,None,Green,#903ef9,#ff00ff,X(,None,7.24%,This pill will make the user feel fulfilled when receiving praise.,Continually losing or misplacing things when consulting a cheerleader.,,,,,,,,,,,,
116,Santakruse,Diamond X,Green X,Light Blue Burst X,Green X,##0bc4ff,##54e507,X) X,Yes,1.22%,This pill will make the user feel like all their Christmases have come at once.,"Inability to stomach the word ""stratagem"".",,,,,,,,,,,,
117,Pughy,Diamond,Purple,None,Pink,#54e507,#ff00ff,X\,None,7.24%,This pill will give the user stamina when dealing with an incredibly argumentative friend.,Hairy palms.,,,,,,,,,,,,
118,Peldrino,Round,Green,None,Orange,#ffde00,#ff00ff,XU,None,5.33%,This pill gives the user the ability to manipulate rain clouds.,Unpredictable hair frizz.,,,,,,,,,,,,
119,Silas,Oval,Rainbow 1,None,Purple,#903ef9,#ffde00,X(,None,9.91%,This pill will give the user the strength to forgive any dog who stole their burger at a barbecue.,Compulsion to greet every dog encountered with a formal bow.,,,,,,,,,,,,
120,Imagerycin,Star,Orange + Pink,None,Pink,#ffde00,#ff00ff,XI,None,13.37%,This pill will give the user the ability to make others act out scenes from classic episodes of Eastenders when in the pub.,Incorrect use of the word 'veneration'.,,,,,,,,,,,,
121,Glazzin,Star,Blue,None,Peach,#54e507,#fc8300,X{.,None,13.37%,This pill will make the user brave when up against gangs of trick-or-treaters,Gradual morphing into a heavily salivating rottweiler mix.,,,,,,,,,,,,
122,Etheream,Star,Rainbow 2,None,Yellow,#903ef9,#ff00ff,XO,None,13.37%,This pill gives the user the power to side-track tree surgeons with their extreme crocheting.,"Forcing people to stand on a piece of A4 paper in reaction to hearing the phrase ""on the same page"".",,,,,,,,,,,,
123,Adeptus,Hexagon,Rainbow 1,None,Pink,#ff00ff,#ffedd7,X\,None,1.48%,This pill allows the user to teleport to any location they can imagine.,None.,,,,,,,,,,,,
124,Merdle,Capsule,Red + Yellow,None,Pink,#ff00ff,#ffde00,XO,None,36.51%,This pill gives the user the power to stupefy burglars with very personalised graffiti.,Hearing canned laughter at inappropriate moments.,,,,,,,,,,,,
125,Pyurna,Diamond,Peach,None,Pink,#ff00ff,#ffde00,X*,None,7.24%,This pill will make the user an expert in agronomy.,Intense fear of tax rebates.,,,,,,,,,,,,
126,Jouble,Oval,Orange,None,Purple,#54e507,#903ef9,XO,None,9.91%,This pill will make the user lose the ability to walk when they see a coffee maker.,Trying to drum up local support for a man vs. horse marathon.,,,,,,,,,,,,
127,Novocain,Diamond,Blue,Gold Burst,Green,#ff00ff,#ff00ff,X(,None,7.24%,This pill will give the user the power to show mercy to anyone who talks or eats loudly throughout the movie at the cinema.,Involuntary need to create topiary sculptures of famous historical figures.,,,,,,,,,,,,
128,YoYbin,Pentagon,Red,None,Peach,#54e507,#903ef9,X],None,11.28%,This pill will make the user feel bored at the start of every weekend.,Inflamed eyelids.,,,,,,,,,,,,
