,id,name,hex1,hex2,effect,sideEffect.
,63,Yulin,#54e507,#ffde00,This pill enables the user to offer compassion to those who forget their umbrellas on a rainy day.,Potentially unhealthy obsession with strangers' mental faculties.
,64,Bandeaux69,#ffde00,#54e507,"This pill will give the user the ability to make others act in a vacant, distant fashion when eating cheeseburgers.",Delightful colour-changing toenails.
,65,Aldihyde,#ffde00,#ffde00,This pill will make the user feel like they are being watched whenever they're in a supermarket.,Refusing to swim following heavy use.
,66,Swarpet,#903ef9,#ff00ff,This pill gives the user the power to astound soldiers with their trousers.,Insatiable interest in lost worlds for several days following use.
,67,Chalky,#903ef9,#0bc4ff,This pill will make the user be able to do a new party trick at every party the user go to.,"Learning to juggle at parties, but only with someone else's personal belongings."
,68,Pabble,#ffde00,#0bc4ff,This pill will make the user feel like they are funny even when they're quite the opposite.,"Uncontrollable laughter at your own jokes, even when no one else is laughing."
,69,Animax,#ffedd7,#903ef9,This pill helps the user say no to watching another episode when binge-watching a series.,Intense fear of obelisks.
,70,Goer,#ffde00,#54e507,This pill will give the user the power to console individuals who have mispronounced a word during an important presentation.,Insatiable interest in rattlesnakes for several days following use.
,71,Smeese,#ffde00,#ff00ff,This pill will give the user the ability to induce disorder and mayhem by playing the sound of an alarm clock at unexpected times,A compulsion to play the audiobook of On the Origin of Species by Charles Darwin at full volume in the car with the windows down while driving to the shops.
,72,Skettles,#ffde00,#ff00ff,"This pill will grant users the power to replace angry outbursts with spontaneous fits of uncontrollable giggling, instantly dissolving negativity.",Inability to stop quoting Henry David Thoreau.
,73,Wobal,#ffde00,#903ef9,This pill will make the user act prudently when doing the big shop.,Intense fear of screeching.
,74,Psychotropix,#54e507,#903ef9,This pill will give the user the ability to show consideration towards people working in hospitality when one is in a foul mood.,Cravings for potato salad served on a frisbee.
,75,Tryhardipanomine,#ff00ff,#ffde00,"For the treatment of 'try hards', particularly when all other intervention has failed",May cause short bouts of self loathing
,76,Bargee,#ff00ff,#ffde00,This pill allows the user to erase and alter memories.,Forgetting the names of your favorite songs.
,77,Voomteer,#ff00ff,#ffedd7,Makes you the funniest person in the room,"Side-effect: Your jokes become so funny they're deadly, literally."
,78,Bourree,#ff0000,#0bc4ff,This pill will give the user the power to forgive any court judge who has unfairly violated them in any way.,Inexplicable urge to create elaborate sand sculptures in public parks.
,79,Pired,#903ef9,#ffedd7,This pill will make the user act out scenes from True Blood whenever they're shown an image of a flamingo.,A craving for juicy gossip about people you don't know.
,80,Fap,#fc8300,#54e507,This pill will give the user the ability to soothe the minds of the stressed by showing them pictures of cats dressed as humans.,Sudden belief that the secret to happiness can be found in juggling.
,81,Didiza,#54e507,#ff00ff,This pill will give the user the ability to commute by jumping like a kangaroo.,Inability to stop quoting Angela Merkel.
,82,Dex,#54e507,#903ef9,This pill will give the user the power to come to major realisations about where they've gone wrong (and right) in life.,Fear of numbers.
,83,Gobstripe,#ff00ff,#0bc4ff,This pill will make the user have brilliant game-changing ideas for as long as they can keep a live wasp in their mouth.,Dangerously swollen tongue.
,84,Homier,#54e507,#ffde00,This pill grants the user the ability to feel strong compassion towards crime scene cleaners despite finding them weird.,Socially detrimental obsession with torches.
,85,Vuzzal,#903ef9,#54e507,This pill will make the user be able to make the ocean turn red through any contact with their skin.,Any sneaked urination can lead to intense bubbling of water around user and acrid ammonia-like smell.
,86,Shadier,#ff00ff,#903ef9,This pill will make the user act in a sad fashion when eating muesli.,Adverse physiological reaction to long sticks affecting a large proportion of users.
,87,Ethereaphrine,#54e507,#903ef9,This pill will implant in the user memories of singing alongside legendary musicians in a colourful karaoke extravaganza in Kathmandu.,"Violent reaction to use of the phrase ""secret sauce""."
,88,Dangle,#ff00ff,#54e507,This pill will make the user able to turn invisible and spy on their enemies.,Fascinating hallucinatory experiences with a midget faded rattlesnake.
,89,Meached,#ff00ff,#ffde00,This pill will enable users to orchestrate impromptu acts of kindness.,Overuse of the word 'zealous'.
,90,Adament,#ff00ff,#ff00ff,"This pill will make every elevator ride a thrilling, laughter-filled roller coaster experience, complete with twists, turns, and loop-de-loops",Loss of bowel control upon seeing a bread stick.
,91,Glope,#0bc4ff,#ff00ff,This pill grants the user the ability to feel strong compassion towards telemarketers despite finding them annoying.,Posting all one's belongings to random addresses in Hamburg.
,92,Cybersex22,#ffedd7,#ff00ff,This pill gives the user the power to confound smokers with their wine knowledge.,Attempting to overthrow local government in Murcia.
,93,Tachyon,#ff00ff,#ffedd7,This pill makes the user the life and soul of dinner parties,Over-the-top food presentations and themed attire.
,94,Chuffol,#ff00ff,#ffde00,This pill will make the user fearless when getting a full body wax.,Excessive body hair growth.
,95,Tugan,#ffedd7,#54e507,This pill will make the user feel caring when being interviewed for their dream job.,"Excessive enthusiasm during interviews, causing raised expectations."
,96,Wumbs,#ffde00,#ff00ff,This pill lets the user become the cartographer who almost moved the Great Pyramids by incorrectly mapping Giza.,A preference for over-cautious behaviour at theme parks.
,97,Hoorsh,#903ef9,#ff00ff,"This pill will make the user see a bright, colourful aura around their friends whenever they hear the word ""microphone"".",An uncanny skill for hamster racing.
,98,Chuckster,#ffde00,#54e507,This pill gives the user the ability to astonish police with their theories.,Intermittent shouting of the word 'kaleidoscope'.
,99,Panchef,#903ef9,#ff00ff,This pill will give the user the ability to love the otherwise unlovable.,Uncontrollable desire to share motivational quotes on social media.
,100,Gloopitinax,#903ef9,#54e507,This pill will make the user feel like they are wanted by the police.,Driving away at speeds while thinking one is being pursued by police can lead to actual pursuit by police and subsequent charges.
,101,Hapzone29,#ffedd7,#54e507,Turns your words into comedic gold,"Inability to stop talking, fearing loss of comedic gold."
,102,Wagwalker,#903ef9,#ff00ff,This pill gives the user the ability to throw off grammarians with their coffee roasting.,"Inability to walk forward after hearing the word ""arrest""."
,103,Chimera,#ffedd7,#ffde00,This pill will give the user an intense appreciation for the simple joys of breakfast.,"Severe allergic reaction to the phrase ""core competencies""."
,104,Graninki,#ffde00,#ffde00,This pill will make the user have the experience of experiencing the wildest historical celebrations with Genghis Khan.,Pathological hatred of cheese boards.
,105,Cogent,#ffedd7,#ff00ff,This pill will make the user be able to mimic anything they touch.,Trying to drum up local support for camel jumping.
,106,Flonkyspam,#903ef9,#ff00ff,This pill will give the user the power to forgive any flight attendant who ruined their flight with their terrible attitude and service.,Accidentally speaking in an exaggerated flight attendant voice during conversations.
,107,Squibin,#ffde00,#ff00ff,This pill gives the user the ability to mislead singers with their home improvement tales.,Dizziness and loss of appetite.
,108,Hunchoonzen,#903ef9,#ffde00,This pill will make the user appear cool and distant for a month.,Consistently messy bathroom.
,109,Rolfeo,#fc8300,#54e507,This pill will give the user the ability to manipulate people into joining their cult by telling insanely funny jokes all the time.,An uncontrollable compulsion to tell inappropriate jokes at the worst possible times.
,110,Sardonyx19,#ff00ff,#ffedd7,This pill will make the user amazing at jet skiing.,Intense fear of river tours.
,111,Wimping,#ffde00,#54e507,This pill gives the user the power to confound hippies with their woodworking.,May cause the user to randomly burst into song and dance.
,112,Blunttonite,#fc8300,#ff00ff,This pill will make the user feel optimistic between 10am - 11:30am each day.,Fizzing inflammation of the tongue.
,113,Mystorin,#ffde00,#ffde00,This pill will grant the user the strength to show mercy to people who don't return their shopping trolley.,Inexplicable urge to perform spoken word renditions of TV commercial jingles.
,114,Lactic,#ffedd7,#ffedd7,This pill will give the user the ability to physically control nightclub doormen.,Immediate loss of bowel control on hearing the word 'confit'.
,115,Barmycin,#903ef9,#ff00ff,This pill will make the user feel fulfilled when receiving praise.,Continually losing or misplacing things when consulting a cheerleader.
,116,Santakruse,#0bc4ff,#54e507,This pill will make the user feel like all their Christmases have come at once.,"Inability to stomach the word ""stratagem""."
,117,Pughy,#54e507,#ff00ff,This pill will give the user stamina when dealing with an incredibly argumentative friend.,Hairy palms.
,118,Peldrino,#ffde00,#ff00ff,This pill gives the user the ability to manipulate rain clouds.,Unpredictable hair frizz.
,119,Silas,#903ef9,#ffde00,This pill will give the user the strength to forgive any dog who stole their burger at a barbecue.,Compulsion to greet every dog encountered with a formal bow.
,120,Imagerycin,#ffde00,#ff00ff,This pill will give the user the ability to make others act out scenes from classic episodes of Eastenders when in the pub.,Incorrect use of the word 'veneration'.
,121,Glazzin,#54e507,#fc8300,This pill will make the user brave when up against gangs of trick-or-treaters,Gradual morphing into a heavily salivating rottweiler mix.
,122,Etheream,#903ef9,#ff00ff,This pill gives the user the power to side-track tree surgeons with their extreme crocheting.,"Forcing people to stand on a piece of A4 paper in reaction to hearing the phrase ""on the same page""."
,123,Adeptus,#ff00ff,#ffedd7,This pill allows the user to teleport to any location they can imagine.,None.
,124,Merdle,#ff00ff,#ffde00,This pill gives the user the power to stupefy burglars with very personalised graffiti.,Hearing canned laughter at inappropriate moments.
,125,Pyurna,#ff00ff,#ffde00,This pill will make the user an expert in agronomy.,Intense fear of tax rebates.
,126,Jouble,#54e507,#903ef9,This pill will make the user lose the ability to walk when they see a coffee maker.,Trying to drum up local support for a man vs. horse marathon.
,127,Novocain,#ff00ff,#ff00ff,This pill will give the user the power to show mercy to anyone who talks or eats loudly throughout the movie at the cinema.,Involuntary need to create topiary sculptures of famous historical figures.
,128,YoYbin,#54e507,#903ef9,This pill will make the user feel bored at the start of every weekend.,Inflamed eyelids.
,129,Chinkoon,#903ef9,#903ef9,This pill will make the user amazing at table tennis.,Inability to listen to anyone who refers to themselves a thought leader.
,130,Papricups,#ff00ff,#ff00ff,This pill strengthens resolve to stay disciplined in crypto investments.,Tendency to shout at revolving doors.
,131,Punhat,#ffde00,#ffde00,"This pill will make the user see a bright, colourful aura around their coworkers whenever they hear the word ""avant-garde"".",Inability to resist incorporating abstract art into work presentations.
,132,Ackeebax,#ffde00,#ffedd7,This pill will make the user remarkably persuasive in any conversation.,Habit of incorporating random animal facts into every argument.
,133,Huppies,#ffde00,#ffde00,This pill will give the user the ability to offer solace to birds with unmelodious songs.,Involuntary whistling at inappropriate moments.
,134,Slyming,#903ef9,#fc8300,This pill will leave the user shocked by people who can ride bikes without falling off.,Insistence on walking everywhere.
,135,Greedyilive,#ff00ff,#ff00ff,This pill gives the user the ability to alarm smokers with their skydiving.,Chaotically morphing into a cheetah.
,136,Imprint,#54e507,#903ef9,This pill will make the user able to translate any language instantly.,Complete inability to find one's forearms.
,137,Yilin,#903ef9,#903ef9,This pill will make the user have a heart-warming hallucinatory experience when visiting the post office.,"Compulsion to mail letters and postcards, regardless of content."
,138,Akebia,#903ef9,#ff00ff,This pill will make the user's ears buzz upon identifying a great opportunity for love.,"Over-enthusiastic matchmaking attempts, often unsolicited."
,139,Battleax17,#ffde00,#ff00ff,"This pill will make you recite haikus when answering questions, adding poetry to daily life","Loss of bladder control upon hearing the word ""characterise""."
,140,Spashed,#54e507,#fc8300,This pill will make the user have a pleasant hallucinatory experience when visiting the last resting place of Christopher Columbus.,Inability to stop quoting Margaret Thatcher.
,141,Badluxitol,#54e507,#ffde00,This pill will make the user feel amusement during instances of personal misfortune.,Claiming to be an expert in education.
,142,Enigma,#54e507,#ffde00,This pill gives the user the power to unbalance wall daubers with their orange skin.,Abnormal interest in areas.
,143,Licke,#ffde00,#903ef9,This pill will make the user's chest fizz pleasantly on hearing good news.,Developing a talent for playing the kazoo that nobody appreciates.
,144,Bumble,#fc8300,#903ef9,This pill allows the user to control and manipulate water buffalo.,"Claiming to have coined the phrase: “Yippie-ki-yay, motherf'r”"
,145,Xeniax,#54e507,#54e507,"This pill will make the user feel the pain of the characters in any story they read, allowing them to empathize with the story like never before.",Constantly talking in different accents.
,146,Giambeux,#0bc4ff,#54e507,This pill will make the user feel distant in the workplace.,Dramatically poor dress sense.
,147,Hunchtonite,#903ef9,#903ef9,This pill will give the user the strength to be sarcastic when nobody expects them to be.,"Attempting to end an argument by saying: ""It is unlawful to refuse a person a glass of water."""
,148,Embargo,#ffde00,#ff00ff,This pill will make the user have the experience of celebrating the completion of daring expeditions with Marco Polo.,Pathological hatred of biscuits.
,149,Glandy,#ffedd7,#fc8300,This pill will give the user the ability to predict unforeseeable outcomes at low-tier sporting events.,Attraction to polka music during thunderstorms.
,150,Hereby,#fc8300,#54e507,This pill will give the user the ability to be bossy when the situation demands it.,Quickly morphing into a death’s head cockroach.
,151,Nutol,#ff00ff,#ffde00,This pill will give the user persistence when up against a compelling and rational argument for not doing what they want.,Intense fear of flags.
,152,Berhymeon,#ffde00,#54e507,This pill will grant the user the strength to show tolerance towards people who won't stop banging on about the diet they're currently on.,Sudden fascination with creating an indoor forest of potted plants.
,153,Delusionol,#903ef9,#ffedd7,This pill will make the user think they're Jeff Goldblum.,Attracting flies.
,154,Scaggis,#ffde00,#54e507,This pill will make the user act in a poker-faced fashion when being interrogated about missing chocolates they’ve eaten.,Morbidly distracting fascination with cancelled college professors for several days following use.
,155,Fluxia,#ff00ff,#ffde00,This pill will give the user the power to forgive anyone who has wronged them.,Belief that they bring about world harmony by knitting multicoloured socks for everyone.
,156,Flimsyful,#ffde00,#54e507,This pill lets the user step into the shoes of the librarian who almost misfiled the Magna Carta.,Giving off a stench of rotten kapi.
,157,Agricolenate,#ffedd7,#54e507,This pill will make people think the user invented farming.,Temporary transmogrification into an australopithecus.
,158,Necronomia,#ffde00,#54e507,This pill will make the user's smile contagious,Constant smiling may cause occasional facial muscle aches.
,159,Smirbles,#ff00ff,#ff00ff,This pill gives the user the ability to affect prisoners with their birdwatching stories.,Intense fear of feathers.
,160,Sloastr,#ffde00,#54e507,This pill grants the user the ability to have equal compassion for corporate lawyers despite them being generally hated.,Infrequently morphing into a firefly.
,161,Snudgen,#ffde00,#54e507,This pill gives the user the ability to use humour to challenge the status quo and inspire change.,"Intermittently writing the band Status Quo confused, strongly worded emails."
,162,Divinium,#ff00ff,#0bc4ff,This pill gives the user the ability to burst bicycles with their singing.,Warning: this drug does not guarantee that the directions you receive will be correct
,163,Anny,#ffde00,#903ef9,This pill will give the user the wisdom of a mule.,A fascination with causing chaos and turbulence at social functions.
,164,Vulpivirox,#ff00ff,#ffde00,This pill will give the user the ability to diminish their own size to fit in a teacup.,A compulsion to play the audiobook of The Confessions of St Augustine by St Augustine of Hippo at full volume in the car with the windows down while driving to the shops.
,165,Chumptonite,#54e507,#ff00ff,This pill gives the user the power to puzzle publicans with their cosplaying.,Trying to drum up local support for The Cotswold Olimpicks.
,166,Ec,#54e507,#ffde00,This pill will give the user the power to understand the complex emotions of a houseplant.,"Total embarrassment on hearing the phrase ""job well done""."
,167,Ujura,#ff00ff,#54e507,This pill gives the user the ability to grow house plants outdoors.,Increased attraction of insects.
,168,Chuckalbrotha,#06ffbe,#ffde00,This pill will give the user the strength to laugh in the face of death and other less terminal scenarios.,Difficulty identifying cruciferous vegetables in the supermarket.
,169,Grelmox,#ffde00,#ff00ff,"This pill gives the user the power to create wormholes, but only in their own wardrobe, leading to alternate dimensions where everyone is a mime artist.",Inability to speak without miming along with their words.
,170,Solaar,#ffde00,#ff00ff,This pill gives the user the power to bewilder Tesla owners with their dog training.,Immediate loss of bowel control on hearing the word 'quarterback'.
,171,Paenitentan,#ff00ff,#ff00ff,This pill induces a rebellious attitude towards authority.,Incorrect use of the word 'gastronomy'.
,172,Zocket,#0bc4ff,#ffedd7,This pill will make the user have a pleasant hallucinatory experience when visiting the last resting place of Julius Caesar.,Intermittent morphing into a cephalaspis.
,173,Bigamy,#54e507,#ffde00,This pill fills users with happiness when taking photos of tarmac.,"Uncontrollable excitement upon hearing the word ""surprise""."
,174,Brillorix,#54e507,#54e507,This pill allows the user to communicate with angels and other celestial beings.,Develops a fascination with the symbolism of ancient civilizations.
,175,Lobstrosna,#ff00ff,#903ef9,This pill will make the user have the experience of ensuring the success of the Boston Tea Party.,Nervous cough in reaction to guitarists.
,176,Baricon,#0bc4ff,#ff00ff,This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Tom Hanks.,Feeling an irresistible urge to reenact scenes from Tom Hanks movies.
,177,Strawbezzle,#ffde00,#ff00ff,This pill will make the user act in a thoughtful fashion with people who are down on their luck.,Insatiable interest in ostrich farmers for several days following use.
,178,Cherubim,#ff00ff,#ffde00,This pill will make the user be able to belch for up to 80 seconds at a time.,Moving to Helsinki.
,179,Cryptalina,#ff00ff,#ffde00,This pill will give the user the ability to mutate their DNA to have glowing skin like a jellyfish.,Irrational fear of stress toys.
,180,Cylonic,#0bc4ff,#ff00ff,This pill gives the user the ability to baffle aldermen with their poetry.,"Intermitently screaming out the window: ""Every man in Brainerd, Minnesota is required by law to grow a beard."""
,181,Capecod,#ff00ff,#ffedd7,This pill will make the user able to write graffiti on a public wall while mortally drunk without becoming a social outcast.,Insatiable interest in mechanical engineers for several days following use.
,182,Swunchy,#903ef9,#ffde00,This pill stops you from checking social media every 5 minutes.,Fear of miniature Air Max 1's.
,183,Fluxiatonimorph,#54e507,#ff00ff,This pill gives the user the ability to electrify writers with their juggling.,"Chewing on one's own tongue upon hearing the phrase ""wokerati""."
,184,Ribbytnolol,#fc8300,#ff00ff,This pill will make the user be able to blow up their cheeks like an Indian bullfrog.,"Telling anyone that make eye contact with you: ""No one may catch a fish with his bare hands."""
,185,Lowestoft,#1206ff,#0bc4ff,This pill will give the user the ability to sell the shirts off other people's backs and pocket the money.,Inability to give compliments.
,186,Grunchy,#54e507,#54e507,This pill springs users into a magical swamp adventure.,Regularly likening one's romantic partner to a plum tomato.
,187,Queachy,#903ef9,#903ef9,This pill will give the user the ability to improve the morale of football fans supporting a truly hopeless team.,Inexplicable need to create a choir that only sings in nonsensical languages.
,188,Crovely,#54e507,#ff00ff,This pill will make the user have the experience of lighting the candles at the premiere of Mozart's The Magic Flute.,Inclination to conduct firefly orchestras.Overuse of the word 'whimsically'.
,189,Exogamy,#0bc4ff,#903ef9,This pill will give the user the features of a sheep.,Disgustingly merry body language.
,190,Cautilious,#903ef9,#54e507,This pill will make the user amazing at ice hockey.,Claiming to be an expert in chemistry.
,191,Tuzclor,#903ef9,#ff00ff,This pill allows the user to see and communicate with spirits.,Uncontrollable cravings for Italian cuisine.
,192,Vizzol,#ffde00,#ff00ff,This pill will make the user audacious on the badminton court.,Increased competitiveness and occasional gloating.
,193,Poinsiduited,#54e507,#54e507,"This pill will give the user a large belly, ruddy cheeks and allow them to fly up chimneys after burgling houses.",Deep uncontrollable laughter in presence of children.
,194,Aguirre,#ffde00,#ffde00,This pill gives the user the ability to perplex radiologists with their terrible magic.,Complete inability to find one's fingernails.
,195,Sood,#903ef9,#ffde00,This pill will make the user be able to manifest powers from body art.,Inability to stop quoting Stephen Hawking.
,196,Barmier,#ff00ff,#ff00ff,This pill will give the user the ability to make others become emotionally overwhelmed by TV adverts.,"Attempting to end an argument by saying: ""It is illegal to put tomatoes in clam chowder."""
,197,Frolix,#54e507,#ffde00,Makes you laugh like a caterpillar,"Occasionally causes you to give long-winded, pointless stories that end with a pun."
,198,Nicken,#ffedd7,#ffedd7,This pill will give the user the power to forgive any person who took some of their chips without asking.,Uncontrollable urge to sniff every french fry before eating.
