#,seed,score,hitRate,alg11,pal,scale,melodic
157,"svuwb7j6",0.417,"8%","1/12",0,"n/a","—"
158,"40i1ny06",0.417,"8%","1/12",0,"n/a","—"
159,"q5znu560",0.417,"8%","1/12",0,"n/a","—"
160,"8ihgvfom",0.417,"8%","1/12",0,"n/a","—"
161,"0h4fd1rz",0.417,"8%","1/12",0,"n/a","—"
162,"rey14omv",0.417,"8%","1/12",0,"n/a","—"
163,"rmfxdml4",0.417,"8%","1/12",0,"n/a","—"
164,"k0q8it43",0.417,"8%","1/12",0,"n/a","—"
165,"tltuw9rb",0.417,"8%","1/12",0,"n/a","—"
166,"0ztkhb03",0.417,"8%","1/12",0,"n/a","—"
167,"i4frwuz0",0.417,"8%","1/12",0,"n/a","—"
168,"g22beqzc",0.417,"8%","1/12",0,"n/a","—"
169,"fcuc801z",0.417,"8%","1/12",0,"n/a","—"
170,"45o0gzl1",0.417,"8%","1/12",0,"n/a","—"
171,"gv59qm95",0.417,"8%","1/12",0,"n/a","—"
172,"qbabirc1",0.417,"8%","1/12",0,"n/a","—"
173,"9p0aaarc",0.417,"8%","1/12",0,"n/a","—"
174,"7w7k5pdd",0.417,"8%","1/12",0,"n/a","—"
175,"c2ea40fs",0.417,"8%","1/12",0,"n/a","—"
176,"2vlqrnwy",0.417,"8%","1/12",0,"n/a","—"
177,"xy1tbdf7",0.417,"8%","1/12",0,"n/a","—"
178,"yr20ncsy",0.417,"8%","1/12",0,"n/a","—"
179,"kq7pjd83",0.417,"8%","1/12",0,"n/a","—"
180,"fdafqjlb",0.417,"8%","1/12",0,"n/a","—"
181,"pe4881eu",0.417,"8%","1/12",0,"n/a","—"
182,"22rf5xwk",0.417,"8%","1/12",0,"n/a","—"
183,"rrd2do4f",0.417,"8%","1/12",0,"n/a","—"
184,"dkn7asn8",0.417,"8%","1/12",0,"n/a","—"
185,"vbuz2u8r",0.417,"8%","1/12",0,"n/a","—"
186,"nodvdjbg",0.417,"8%","1/12",0,"n/a","—"
187,"ewmhmsza",0.417,"8%","1/12",0,"n/a","—"
188,"4fvwnim0",0.417,"8%","1/12",0,"n/a","—"
189,"3t1d17i6",0.417,"8%","1/12",0,"n/a","—"
190,"3smyms6i",0.417,"8%","1/12",0,"n/a","—"
191,"o9r0j7ls",0.417,"8%","1/12",0,"n/a","—"
192,"y34kixoz",0.417,"8%","1/12",0,"n/a","—"
193,"fdawq9dh",0.417,"8%","1/12",0,"n/a","—"
194,"h03g5q0j",0.417,"8%","1/12",0,"n/a","—"
195,"becookjw",0.417,"8%","1/12",0,"n/a","—"
196,"s4lfuiys",0.417,"8%","1/12",0,"n/a","—"
197,"8ab5dfll",0.417,"8%","1/12",0,"n/a","—"
198,"839idcuh",0.417,"8%","1/12",0,"n/a","—"
199,"0ny3vge6",0.417,"8%","1/12",0,"n/a","—"
200,"ou0aznwj",0.417,"8%","1/12",0,"n/a","—"
201,"09u2lo1d",0.417,"8%","1/12",0,"n/a","—"
202,"v7ajzgsk",0.417,"8%","1/12",0,"n/a","—"
203,"qvdi44bu",0.417,"8%","1/12",0,"n/a","—"
204,"dh39t0gk",0.417,"8%","1/12",0,"n/a","—"
205,"iw10k1du",0.417,"8%","1/12",0,"n/a","—"
206,"2fcpug9j",0.417,"8%","1/12",0,"n/a","—"
207,"8o91l1ti",0.417,"8%","1/12",0,"n/a","—"
208,"m3f48alk",0.417,"8%","1/12",0,"n/a","—"
209,"2xtntobe",0.417,"8%","1/12",0,"n/a","—"
210,"39dmhi4i",0.417,"8%","1/12",0,"n/a","—"
211,"b2rsrbzs",0.417,"8%","1/12",0,"n/a","—"
212,"6pofgsj7",0.417,"8%","1/12",0,"n/a","—"
213,"qng3djmc",0.417,"8%","1/12",0,"n/a","—"
214,"9gowvxfc",0.417,"8%","1/12",0,"n/a","—"
215,"nz510n1g",0.417,"8%","1/12",0,"n/a","—"
216,"phovf3fc",0.417,"8%","1/12",0,"n/a","—"
217,"gs0yyq8n",0.417,"8%","1/12",0,"n/a","—"
218,"dkxi2z1q",0.417,"8%","1/12",0,"n/a","—"
219,"8rs4ues0",0.417,"8%","1/12",0,"n/a","—"
220,"e4ew53zj",0.417,"8%","1/12",0,"n/a","—"
221,"941ib5s1",0.417,"8%","1/12",0,"n/a","—"
222,"cx2fuwlt",0.417,"8%","1/12",0,"n/a","—"
223,"9vocpix4",0.417,"8%","1/12",0,"n/a","—"
224,"2134gpj3",0.417,"8%","1/12",0,"n/a","—"
225,"ok0riwid",0.417,"8%","1/12",0,"n/a","—"
226,"edfy0ktr",0.417,"8%","1/12",0,"n/a","—"
227,"lk4m0hcl",0.417,"8%","1/12",0,"n/a","—"
228,"yzaczm72",0.417,"8%","1/12",0,"n/a","—"
229,"00d7zyrh",0.417,"8%","1/12",0,"n/a","—"
230,"bw53tjso",0.417,"8%","1/12",0,"n/a","—"
231,"zzfsvgt9",0.417,"8%","1/12",0,"n/a","—"
232,"c7tu6qzq",0.417,"8%","1/12",0,"n/a","—"
233,"182rhnmz",0.417,"8%","1/12",0,"n/a","—"
234,"u9ar156o",0.417,"8%","1/12",0,"n/a","—"
235,"8jfmshmo",0.417,"8%","1/12",0,"n/a","—"
236,"30kbcr57",0.417,"8%","1/12",0,"n/a","—"
237,"apypwb97",0.417,"8%","1/12",0,"n/a","—"
238,"8x148uva",0.417,"8%","1/12",0,"n/a","—"
239,"2cizwjvh",0.417,"8%","1/12",0,"n/a","—"
240,"z8bjggnn",0.417,"8%","1/12",0,"n/a","—"
241,"tggnbgvm",0.417,"8%","1/12",0,"n/a","—"
242,"9fb1f8x4",0.417,"8%","1/12",0,"n/a","—"
243,"bh5i15vu",0.417,"8%","1/12",0,"n/a","—"
244,"fqgsywk4",0.417,"8%","1/12",0,"n/a","—"
245,"3y2ijyxe",0.417,"8%","1/12",0,"n/a","—"
246,"hwao95lm",0.417,"8%","1/12",0,"n/a","—"
247,"0ikw4pdr",0.417,"8%","1/12",0,"n/a","—"
248,"tyszl3qh",0.417,"8%","1/12",0,"n/a","—"
249,"e0pxkuqi",0.417,"8%","1/12",0,"n/a","—"
250,"5jxjzgss",0.417,"8%","1/12",0,"n/a","—"
251,"gd16od1o",0.417,"8%","1/12",0,"n/a","—"
252,"qc77tdys",0.417,"8%","1/12",0,"n/a","—"
253,"5cmwvl93",0.417,"8%","1/12",0,"n/a","—"
254,"3j9xtnde",0.417,"8%","1/12",0,"n/a","—"
255,"vun1qh7g",0.417,"8%","1/12",0,"n/a","—"
256,"fr1pc2gw",0.417,"8%","1/12",0,"n/a","—"
257,"qkowekf3",0.417,"8%","1/12",0,"n/a","—"
258,"q27piep3",0.417,"8%","1/12",0,"n/a","—"
259,"32f61t5u",0.417,"8%","1/12",0,"n/a","—"
260,"hd5simqm",0.417,"8%","1/12",0,"n/a","—"
261,"vo675kdm",0.417,"8%","1/12",0,"n/a","—"
262,"79aexkug",0.417,"8%","1/12",0,"n/a","—"
263,"m37q291u",0.417,"8%","1/12",0,"n/a","—"
264,"mncqvkrl",0.417,"8%","1/12",0,"n/a","—"
265,"xlrgsiiz",0.417,"8%","1/12",0,"n/a","—"
266,"wcvfwfl9",0.417,"8%","1/12",0,"n/a","—"
267,"4huj57w3",0.417,"8%","1/12",0,"n/a","—"
268,"b6e4men7",0.417,"8%","1/12",0,"n/a","—"
269,"bqykkeou",0.417,"8%","1/12",0,"n/a","—"
270,"fm37jn6p",0.417,"8%","1/12",0,"n/a","—"
271,"ujpxvjfl",0.417,"8%","1/12",0,"n/a","—"
272,"m61f3jnq",0.417,"8%","1/12",0,"n/a","—"
273,"p26dyiar",0.417,"8%","1/12",0,"n/a","—"
274,"mdfgjl8w",0.417,"8%","1/12",0,"n/a","—"
275,"mio229ha",0.417,"8%","1/12",0,"n/a","—"
276,"iv0xngao",0.417,"8%","1/12",0,"n/a","—"
277,"qpnc620u",0.417,"8%","1/12",0,"n/a","—"
278,"1nsbu8bt",0.417,"8%","1/12",0,"n/a","—"
279,"6nvtqdni",0.417,"8%","1/12",0,"n/a","—"
280,"3yufjbwe",0.417,"8%","1/12",0,"n/a","—"
281,"muwbpljh",0.417,"8%","1/12",0,"n/a","—"
282,"gjkkcq5i",0.417,"8%","1/12",0,"n/a","—"
283,"m1vgicu9",0.417,"8%","1/12",0,"n/a","—"
284,"iq2lgp6p",0.417,"8%","1/12",0,"n/a","—"
285,"6fdruh3h",0.417,"8%","1/12",0,"n/a","—"
286,"jepofviy",0.417,"8%","1/12",0,"n/a","—"
287,"5ci9yu8t",0.417,"8%","1/12",0,"n/a","—"
288,"ab5i3tce",0.417,"8%","1/12",0,"n/a","—"
289,"kjxi1i9w",0.417,"8%","1/12",0,"n/a","—"
290,"ws2amuj9",0.417,"8%","1/12",0,"n/a","—"
291,"a4vo9wo8",0.417,"8%","1/12",0,"n/a","—"
292,"jqrif0bm",0.417,"8%","1/12",0,"n/a","—"
293,"xbpnq1v9",0.417,"8%","1/12",0,"n/a","—"
294,"9h0yarep",0.417,"8%","1/12",0,"n/a","—"
295,"w89r6bqi",0.417,"8%","1/12",0,"n/a","—"
296,"lm4d5xxr",0.417,"8%","1/12",0,"n/a","—"
297,"h187qi4o",0.417,"8%","1/12",0,"n/a","—"
298,"4n28gr72",0.417,"8%","1/12",0,"n/a","—"
299,"kur9sef2",0.417,"8%","1/12",0,"n/a","—"
300,"m1z1g10u",0.417,"8%","1/12",0,"n/a","—"
301,"xqqy3z0u",0.417,"8%","1/12",0,"n/a","—"
302,"dy4symd1",0.417,"8%","1/12",0,"n/a","—"
303,"a5y4polo",0.417,"8%","1/12",0,"n/a","—"
304,"gx6dnqmo",0.417,"8%","1/12",0,"n/a","—"
305,"4e71sr17",0.417,"8%","1/12",0,"n/a","—"
306,"y7rdc4at",0.417,"8%","1/12",0,"n/a","—"
307,"p35ccf3l",0.417,"8%","1/12",0,"n/a","—"
308,"7b1qlg2q",0.417,"8%","1/12",0,"n/a","—"
309,"5tg6azl6",0.417,"8%","1/12",0,"n/a","—"
310,"q07z0uq8",0.417,"8%","1/12",0,"n/a","—"
311,"8nvacw15",0.417,"8%","1/12",0,"n/a","—"
312,"jcxsz3ip",0.417,"8%","1/12",0,"n/a","—"
313,"j1qn8yno",0.417,"8%","1/12",0,"n/a","—"
314,"g49tbf2e",0.417,"8%","1/12",0,"n/a","—"
315,"lde7qfop",0.417,"8%","1/12",0,"n/a","—"
316,"sdfrxj9u",0.417,"8%","1/12",0,"n/a","—"
317,"lbma6nf9",0.417,"8%","1/12",0,"n/a","—"
318,"6rz7at2j",0.417,"8%","1/12",0,"n/a","—"
319,"wg5ttaml",0.417,"8%","1/12",0,"n/a","—"
320,"04h3gxa3",0.417,"8%","1/12",0,"n/a","—"
321,"z43vf8hd",0.417,"8%","1/12",0,"n/a","—"
322,"3rgzki5d",0.417,"8%","1/12",0,"n/a","—"
323,"suisujw6",0.417,"8%","1/12",0,"n/a","—"
324,"vzqpnpan",0.417,"8%","1/12",0,"n/a","—"
325,"yshqhj4l",0.417,"8%","1/12",0,"n/a","—"
326,"32aaevab",0.417,"8%","1/12",0,"n/a","—"
327,"s2evfx51",0.417,"8%","1/12",0,"n/a","—"
328,"lb8g1aux",0.417,"8%","1/12",0,"n/a","—"
329,"u778bq74",0.417,"8%","1/12",0,"n/a","—"
330,"07a4hrb1",0.417,"8%","1/12",0,"n/a","—"
331,"1je12hmu",0.417,"8%","1/12",0,"n/a","—"
332,"zjv661qx",0.417,"8%","1/12",0,"n/a","—"
333,"ij8hwkw7",0.417,"8%","1/12",0,"n/a","—"
334,"nr9zuxew",0.417,"8%","1/12",0,"n/a","—"
335,"g6rnv3dg",0.417,"8%","1/12",0,"n/a","—"
336,"nmu4vkj6",0.417,"8%","1/12",0,"n/a","—"
337,"4zcxpgu4",0.417,"8%","1/12",0,"n/a","—"
338,"8bln82gt",0.417,"8%","1/12",0,"n/a","—"
339,"0a3t3xeo",0.417,"8%","1/12",0,"n/a","—"
340,"lfxj8g65",0.417,"8%","1/12",0,"n/a","—"
341,"vdf0vkus",0.417,"8%","1/12",0,"n/a","—"
342,"ffax5k0l",0.417,"8%","1/12",0,"n/a","—"
343,"8dt2vj9j",0.417,"8%","1/12",0,"n/a","—"
344,"ruhh0y6c",0.417,"8%","1/12",0,"n/a","—"
345,"l36wdni9",0.417,"8%","1/12",0,"n/a","—"
346,"sh9trq4t",0.417,"8%","1/12",0,"n/a","—"
347,"5672ze1c",0.417,"8%","1/12",0,"n/a","—"
348,"m6njtfjt",0.417,"8%","1/12",0,"n/a","—"
349,"oj5x3m5l",0.417,"8%","1/12",0,"n/a","—"
350,"4ohwacda",0.417,"8%","1/12",0,"n/a","—"
351,"6ri6rdqh",0.417,"8%","1/12",0,"n/a","—"
352,"c25figrt",0.417,"8%","1/12",0,"n/a","—"
353,"zc7asa5g",0.417,"8%","1/12",0,"n/a","—"
354,"f0lhk8eo",0.417,"8%","1/12",0,"n/a","—"
355,"9lkix66j",0.417,"8%","1/12",0,"n/a","—"
356,"qzp83loh",0.417,"8%","1/12",0,"n/a","—"
357,"6grdn7nq",0.417,"8%","1/12",0,"n/a","—"
358,"rsfqaefj",0.417,"8%","1/12",0,"n/a","—"
359,"1tag3c01",0.417,"8%","1/12",0,"n/a","—"
360,"px9oygvt",0.417,"8%","1/12",0,"n/a","—"
361,"smdiakrd",0.417,"8%","1/12",0,"n/a","—"
362,"wgihj6ow",0.417,"8%","1/12",0,"n/a","—"
363,"ypgtuvwp",0.417,"8%","1/12",0,"n/a","—"
364,"2wcti979",0.417,"8%","1/12",0,"n/a","—"
365,"3a9yho6b",0.417,"8%","1/12",0,"n/a","—"
366,"2x4go2i1",0.417,"8%","1/12",0,"n/a","—"
367,"u0jx8daa",0.417,"8%","1/12",0,"n/a","—"
368,"8ax59bf8",0.417,"8%","1/12",0,"n/a","—"
369,"1kmf9r3l",0.417,"8%","1/12",0,"n/a","—"
370,"s6q0h3ev",0.417,"8%","1/12",0,"n/a","—"
371,"a4s8mlu6",0.417,"8%","1/12",0,"n/a","—"
372,"9v5s59gc",0.417,"8%","1/12",0,"n/a","—"
373,"ogjwf95f",0.417,"8%","1/12",0,"n/a","—"
374,"zlyhwz79",0.417,"8%","1/12",0,"n/a","—"
375,"c3ysmypc",0.417,"8%","1/12",0,"n/a","—"
376,"l0xgqg89",0.417,"8%","1/12",0,"n/a","—"
377,"5pfqktl5",0.417,"8%","1/12",0,"n/a","—"
378,"awdskjfh",0.417,"8%","1/12",0,"n/a","—"
379,"bbkkfv3b",0.417,"8%","1/12",0,"n/a","—"
380,"np9uz6pc",0.417,"8%","1/12",0,"n/a","—"
381,"zev42qdv",0.417,"8%","1/12",0,"n/a","—"
382,"dq8fzotj",0.417,"8%","1/12",0,"n/a","—"
383,"sj4if1mo",0.417,"8%","1/12",0,"n/a","—"
384,"qt11wqwg",0.417,"8%","1/12",0,"n/a","—"
385,"fdarrf3n",0.417,"8%","1/12",0,"n/a","—"
386,"78gacflm",0.417,"8%","1/12",0,"n/a","—"
387,"g6hhczhg",0.417,"8%","1/12",0,"n/a","—"
388,"dsu198zn",0.417,"8%","1/12",0,"n/a","—"
389,"8zzno2sg",0.417,"8%","1/12",0,"n/a","—"
390,"t5yc1vak",0.417,"8%","1/12",0,"n/a","—"
391,"psz26kh4",0.417,"8%","1/12",0,"n/a","—"
392,"c4k3kcit",0.417,"8%","1/12",0,"n/a","—"
393,"8xiwplc8",0.417,"8%","1/12",0,"n/a","—"
394,"m237z5t9",0.417,"8%","1/12",0,"n/a","—"
395,"ki9w4jwo",0.417,"8%","1/12",0,"n/a","—"
396,"p0x4prlm",0.417,"8%","1/12",0,"n/a","—"
397,"z4bzigln",0.417,"8%","1/12",0,"n/a","—"
398,"c9oe9s0w",0.417,"8%","1/12",0,"n/a","—"
399,"3tc7io0e",0.417,"8%","1/12",0,"n/a","—"
400,"sjda2ble",0.417,"8%","1/12",0,"n/a","—"
401,"c7dwvqag",0.417,"8%","1/12",0,"n/a","—"
402,"p5n90km1",0.417,"8%","1/12",0,"n/a","—"
403,"9jqunp16",0.417,"8%","1/12",0,"n/a","—"
404,"pbr5ndzf",0.417,"8%","1/12",0,"n/a","—"
405,"x0a7q5v1",0.417,"8%","1/12",0,"n/a","—"
406,"gdox2naa",0.417,"8%","1/12",0,"n/a","—"
407,"taldyksw",0.417,"8%","1/12",0,"n/a","—"
408,"jadfy0ib",0.417,"8%","1/12",0,"n/a","—"
409,"6cdn9ryi",0.417,"8%","1/12",0,"n/a","—"
410,"8h1t4m2p",0.417,"8%","1/12",0,"n/a","—"
411,"pagriprd",0.417,"8%","1/12",0,"n/a","—"
412,"8c5ore82",0.417,"8%","1/12",0,"n/a","—"
413,"ig1bjx4e",0.417,"8%","1/12",0,"n/a","—"
414,"qoz2mqwl",0.417,"8%","1/12",0,"n/a","—"
415,"lz32murx",0.417,"8%","1/12",0,"n/a","—"
416,"a9itx5b0",0.417,"8%","1/12",0,"n/a","—"
417,"6umtkatv",0.417,"8%","1/12",0,"n/a","—"
418,"gmh93090",0.417,"8%","1/12",0,"n/a","—"
419,"ia11d3ev",0.417,"8%","1/12",0,"n/a","—"
420,"6tqnwkbb",0.417,"8%","1/12",0,"n/a","—"
421,"a6rnth1x",0.417,"8%","1/12",0,"n/a","—"
422,"onbd7zx0",0.417,"8%","1/12",0,"n/a","—"
423,"dkqx8o5h",0.417,"8%","1/12",0,"n/a","—"
424,"g01ss27q",0.417,"8%","1/12",0,"n/a","—"
425,"m7aqi3h6",0.417,"8%","1/12",0,"n/a","—"
